date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2011-04-15,2316.0,,2328.0,2290.0,174.0,2301.0,2315.0,526.0,2011-04-15,J1201.DCE,2011-04-15,2012-01-17,True
2011-04-18,2453.0,,2453.0,2325.0,334.0,2326.0,2429.0,786.0,2011-04-18,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-19,2422.0,,2453.0,2410.0,300.0,2447.0,2426.0,502.0,2011-04-19,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-20,2430.0,,2473.0,2417.0,288.0,2432.0,2442.0,398.0,2011-04-20,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-21,2422.0,,2453.0,2412.0,282.0,2444.0,2432.0,104.0,2011-04-21,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-22,2416.0,,2430.0,2391.0,290.0,2422.0,2409.0,104.0,2011-04-22,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-25,2416.0,,2450.0,2410.0,272.0,2439.0,2424.0,86.0,2011-04-25,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-26,2413.0,,2420.0,2399.0,252.0,2399.0,2410.0,108.0,2011-04-26,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-27,2413.0,,2426.0,2410.0,248.0,2413.0,2416.0,34.0,2011-04-27,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-28,2420.0,,2438.0,2420.0,248.0,2422.0,2429.0,30.0,2011-04-28,J1201.DCE,2011-04-15,2012-01-17,False
2011-04-29,2419.0,,2426.0,2419.0,242.0,2423.0,2421.0,36.0,2011-04-29,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-03,2432.0,,2436.0,2427.0,242.0,2427.0,2430.0,44.0,2011-05-03,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-04,2414.0,,2432.0,2409.0,242.0,2432.0,2418.0,32.0,2011-05-04,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-05,2392.0,,2403.0,2392.0,250.0,2403.0,2396.0,106.0,2011-05-05,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-06,2358.0,,2379.0,2288.0,244.0,2379.0,2355.0,100.0,2011-05-06,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-09,2364.0,,2366.0,2360.0,228.0,2360.0,2361.0,20.0,2011-05-09,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-10,2361.0,,2370.0,2361.0,200.0,2370.0,2363.0,80.0,2011-05-10,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-11,2361.0,,2370.0,2361.0,200.0,2370.0,2363.0,80.0,2011-05-10,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-12,2330.0,,2337.0,2286.0,236.0,2286.0,2321.0,120.0,2011-05-12,J1110.DCE,2011-04-15,2011-10-21,True
2011-05-13,2467.0,,2498.0,2416.0,304.0,2416.0,2468.0,244.0,2011-05-13,J1201.DCE,2011-04-15,2012-01-17,True
2011-05-16,2468.0,,2479.0,2455.0,368.0,2467.0,2467.0,220.0,2011-05-16,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-17,2455.0,,2475.0,2434.0,380.0,2470.0,2453.0,148.0,2011-05-17,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-18,2432.0,,2483.0,2432.0,398.0,2482.0,2453.0,208.0,2011-05-18,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-19,2436.0,,2444.0,2428.0,404.0,2428.0,2435.0,94.0,2011-05-19,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-20,2436.0,,2447.0,2425.0,406.0,2425.0,2438.0,46.0,2011-05-20,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-23,2420.0,,2433.0,2417.0,398.0,2430.0,2427.0,36.0,2011-05-23,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-24,2442.0,,2446.0,2420.0,404.0,2420.0,2440.0,114.0,2011-05-24,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-25,2435.0,,2437.0,2432.0,396.0,2434.0,2433.0,18.0,2011-05-25,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-26,2442.0,,2451.0,2435.0,392.0,2435.0,2447.0,40.0,2011-05-26,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-27,2434.0,,2435.0,2420.0,390.0,2432.0,2429.0,44.0,2011-05-27,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-30,2429.0,,2437.0,2428.0,392.0,2437.0,2433.0,22.0,2011-05-30,J1201.DCE,2011-04-15,2012-01-17,False
2011-05-31,2432.0,,2439.0,2432.0,384.0,2432.0,2433.0,22.0,2011-05-31,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-01,2422.0,,2437.0,2422.0,372.0,2428.0,2426.0,60.0,2011-06-01,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-02,2422.0,,2429.0,2409.0,346.0,2419.0,2419.0,112.0,2011-06-02,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-03,2412.0,,2418.0,2405.0,334.0,2412.0,2413.0,172.0,2011-06-03,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-07,2418.0,,2425.0,2412.0,312.0,2412.0,2418.0,48.0,2011-06-07,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-08,2418.0,,2425.0,2412.0,312.0,2412.0,2418.0,48.0,2011-06-07,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-09,2299.0,,2309.0,2293.0,368.0,2305.0,2302.0,118.0,2011-06-09,J1110.DCE,2011-04-15,2011-10-21,True
2011-06-10,2394.0,,2406.0,2394.0,298.0,2406.0,2400.0,30.0,2011-06-10,J1201.DCE,2011-04-15,2012-01-17,True
2011-06-13,2394.0,,2406.0,2394.0,298.0,2406.0,2400.0,30.0,2011-06-10,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-14,2318.0,,2330.0,2310.0,298.0,2325.0,2319.0,68.0,2011-06-14,J1110.DCE,2011-04-15,2011-10-21,True
2011-06-15,2396.0,,2411.0,2396.0,274.0,2410.0,2403.0,16.0,2011-06-15,J1201.DCE,2011-04-15,2012-01-17,True
2011-06-16,2381.0,,2390.0,2380.0,254.0,2388.0,2384.0,52.0,2011-06-16,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-17,2378.0,,2389.0,2378.0,256.0,2389.0,2384.0,8.0,2011-06-17,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-20,2360.0,,2381.0,2360.0,268.0,2381.0,2368.0,64.0,2011-06-20,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-21,2375.0,,2375.0,2354.0,260.0,2366.0,2361.0,32.0,2011-06-21,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-22,2367.0,,2378.0,2362.0,234.0,2378.0,2365.0,48.0,2011-06-22,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-23,2394.0,,2394.0,2368.0,226.0,2368.0,2384.0,38.0,2011-06-23,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-24,2381.0,,2394.0,2377.0,230.0,2394.0,2383.0,24.0,2011-06-24,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-27,2380.0,,2392.0,2369.0,226.0,2373.0,2379.0,40.0,2011-06-27,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-28,2376.0,,2408.0,2376.0,212.0,2399.0,2394.0,42.0,2011-06-28,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-29,2375.0,,2394.0,2369.0,230.0,2394.0,2375.0,52.0,2011-06-29,J1201.DCE,2011-04-15,2012-01-17,False
2011-06-30,2383.0,,2384.0,2379.0,214.0,2384.0,2381.0,20.0,2011-06-30,J1201.DCE,2011-04-15,2012-01-17,False
