date,VOLUME,OI,specific_contract,DEALNUM,HIGH,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2013-03-22,414.0,147.0,JM1307.DCE,,1300.0,1254.0,1235.0,2013-03-22,1237.0,1300.0,2013-07-12,2013-03-22,True,112 days 00:00:00.000000000
2013-03-25,60.0,152.0,JM1307.DCE,,1246.0,1238.0,1228.0,2013-03-25,1231.0,1234.0,2013-07-12,2013-03-22,False,109 days 00:00:00.000000000
2013-03-26,69.0,140.0,JM1307.DCE,,1242.0,1236.0,1228.0,2013-03-26,1239.0,1228.0,2013-07-12,2013-03-22,False,108 days 00:00:00.000000000
2013-03-27,14.0,136.0,JM1307.DCE,,1245.0,1232.0,1227.0,2013-03-27,1230.0,1245.0,2013-07-12,2013-03-22,False,107 days 00:00:00.000000000
2013-03-28,71.0,110.0,JM1307.DCE,,1239.0,1232.0,1226.0,2013-03-28,1234.0,1228.0,2013-07-12,2013-03-22,False,106 days 00:00:00.000000000
2013-03-29,30.0,98.0,JM1307.DCE,,1241.0,1229.0,1218.0,2013-03-29,1228.0,1227.0,2013-07-12,2013-03-22,False,105 days 00:00:00.000000000
2013-04-01,154.0,88.0,JM1307.DCE,,1215.0,1205.0,1180.0,2013-04-01,1191.0,1215.0,2013-07-12,2013-03-22,False,102 days 00:00:00.000000000
2013-04-02,92.0,51.0,JM1307.DCE,,1221.0,1203.0,1188.0,2013-04-02,1215.0,1194.0,2013-07-12,2013-03-22,False,101 days 00:00:00.000000000
2013-04-03,15.0,44.0,JM1307.DCE,,1217.0,1211.0,1204.0,2013-04-03,1210.0,1204.0,2013-07-12,2013-03-22,False,100 days 00:00:00.000000000
2013-04-08,12.0,38.0,JM1307.DCE,,1210.0,1199.0,1191.0,2013-04-08,1206.0,1210.0,2013-07-12,2013-03-22,False,95 days 00:00:00.000000000
2013-04-09,19.0,26.0,JM1307.DCE,,1218.0,1213.0,1205.0,2013-04-09,1209.0,1215.0,2013-07-12,2013-03-22,False,94 days 00:00:00.000000000
2013-04-10,3.0,26.0,JM1307.DCE,,1213.0,1212.0,1212.0,2013-04-10,1212.0,1213.0,2013-07-12,2013-03-22,False,93 days 00:00:00.000000000
2013-04-11,4.0,24.0,JM1307.DCE,,1212.0,1210.0,1204.0,2013-04-11,1204.0,1212.0,2013-07-12,2013-03-22,False,92 days 00:00:00.000000000
2013-04-12,9.0,23.0,JM1307.DCE,,1204.0,1201.0,1199.0,2013-04-12,1201.0,1204.0,2013-07-12,2013-03-22,False,91 days 00:00:00.000000000
2013-04-15,17.0,19.0,JM1307.DCE,,1182.0,1165.0,1156.0,2013-04-15,1163.0,1182.0,2013-07-12,2013-03-22,False,88 days 00:00:00.000000000
2013-04-16,15.0,17.0,JM1307.DCE,,1159.0,1142.0,1133.0,2013-04-16,1159.0,1138.0,2013-07-12,2013-03-22,False,87 days 00:00:00.000000000
2013-04-17,4.0,14.0,JM1307.DCE,,1147.0,1139.0,1133.0,2013-04-17,1144.0,1147.0,2013-07-12,2013-03-22,False,86 days 00:00:00.000000000
2013-04-18,4.0,14.0,JM1307.DCE,,1144.0,1135.0,1131.0,2013-04-18,1134.0,1144.0,2013-07-12,2013-03-22,False,85 days 00:00:00.000000000
2013-04-19,3.0,12.0,JM1307.DCE,,1134.0,1133.0,1133.0,2013-04-19,1133.0,1134.0,2013-07-12,2013-03-22,False,84 days 00:00:00.000000000
2013-04-22,0.0,12.0,JM1307.DCE,,,1129.0,,2013-04-22,1129.0,,2013-07-12,2013-03-22,False,81 days 00:00:00.000000000
2013-04-23,2.0,12.0,JM1307.DCE,,1107.0,1107.0,1107.0,2013-04-23,1107.0,1107.0,2013-07-12,2013-03-22,False,80 days 00:00:00.000000000
2013-04-24,4.0,12.0,JM1307.DCE,,1108.0,1106.0,1104.0,2013-04-24,1108.0,1104.0,2013-07-12,2013-03-22,False,79 days 00:00:00.000000000
2013-04-25,0.0,12.0,JM1307.DCE,,,1106.0,,2013-04-25,1106.0,,2013-07-12,2013-03-22,False,78 days 00:00:00.000000000
2013-04-26,2.0,12.0,JM1307.DCE,,1121.0,1108.0,1096.0,2013-04-26,1096.0,1121.0,2013-07-12,2013-03-22,False,77 days 00:00:00.000000000
2013-05-02,0.0,12.0,JM1307.DCE,,,1088.0,,2013-05-02,1088.0,,2013-07-12,2013-03-22,False,71 days 00:00:00.000000000
2013-05-03,0.0,12.0,JM1307.DCE,,,1088.0,,2013-05-03,1088.0,,2013-07-12,2013-03-22,False,70 days 00:00:00.000000000
2013-05-06,0.0,12.0,JM1307.DCE,,,1088.0,,2013-05-06,1088.0,,2013-07-12,2013-03-22,False,67 days 00:00:00.000000000
2013-05-07,2.0,12.0,JM1307.DCE,,1088.0,1087.0,1087.0,2013-05-07,1088.0,1087.0,2013-07-12,2013-03-22,False,66 days 00:00:00.000000000
2013-05-08,0.0,12.0,JM1307.DCE,,,1087.0,,2013-05-08,1087.0,,2013-07-12,2013-03-22,False,65 days 00:00:00.000000000
2013-05-09,4.0,11.0,JM1307.DCE,,1073.0,1071.0,1070.0,2013-05-09,1071.0,1073.0,2013-07-12,2013-03-22,False,64 days 00:00:00.000000000
2013-05-10,0.0,11.0,JM1307.DCE,,,1071.0,,2013-05-10,1071.0,,2013-07-12,2013-03-22,False,63 days 00:00:00.000000000
2013-05-13,1.0,11.0,JM1307.DCE,,1110.0,1110.0,1110.0,2013-05-13,1110.0,1110.0,2013-07-12,2013-03-22,False,60 days 00:00:00.000000000
2013-05-14,0.0,11.0,JM1307.DCE,,,1110.0,,2013-05-14,1110.0,,2013-07-12,2013-03-22,False,59 days 00:00:00.000000000
2013-05-15,0.0,11.0,JM1307.DCE,,,1110.0,,2013-05-15,1110.0,,2013-07-12,2013-03-22,False,58 days 00:00:00.000000000
2013-05-16,2.0,11.0,JM1307.DCE,,1066.0,1066.0,1066.0,2013-05-16,1066.0,1066.0,2013-07-12,2013-03-22,False,57 days 00:00:00.000000000
2013-05-17,1.0,11.0,JM1307.DCE,,1075.0,1075.0,1075.0,2013-05-17,1075.0,1075.0,2013-07-12,2013-03-22,False,56 days 00:00:00.000000000
2013-05-20,0.0,11.0,JM1307.DCE,,,1075.0,,2013-05-20,1075.0,,2013-07-12,2013-03-22,False,53 days 00:00:00.000000000
2013-05-21,0.0,11.0,JM1307.DCE,,,1075.0,,2013-05-21,1075.0,,2013-07-12,2013-03-22,False,52 days 00:00:00.000000000
2013-05-22,0.0,11.0,JM1307.DCE,,,1075.0,,2013-05-22,1075.0,,2013-07-12,2013-03-22,False,51 days 00:00:00.000000000
2013-05-23,0.0,11.0,JM1307.DCE,,,1075.0,,2013-05-23,1075.0,,2013-07-12,2013-03-22,False,50 days 00:00:00.000000000
2013-05-24,0.0,11.0,JM1307.DCE,,,1075.0,,2013-05-24,1075.0,,2013-07-12,2013-03-22,False,49 days 00:00:00.000000000
2013-05-27,0.0,11.0,JM1307.DCE,,,1075.0,,2013-05-27,1075.0,,2013-07-12,2013-03-22,False,46 days 00:00:00.000000000
2013-05-28,3.0,9.0,JM1307.DCE,,1072.0,1064.0,1061.0,2013-05-28,1061.0,1072.0,2013-07-12,2013-03-22,False,45 days 00:00:00.000000000
2013-05-29,1.0,9.0,JM1307.DCE,,1080.0,1080.0,1080.0,2013-05-29,1080.0,1080.0,2013-07-12,2013-03-22,False,44 days 00:00:00.000000000
2013-05-30,0.0,9.0,JM1307.DCE,,,1079.0,,2013-05-30,1079.0,,2013-07-12,2013-03-22,False,43 days 00:00:00.000000000
2013-05-31,0.0,9.0,JM1307.DCE,,,1079.0,,2013-05-31,1079.0,,2013-07-12,2013-03-22,False,42 days 00:00:00.000000000
2013-06-03,1.0,10.0,JM1307.DCE,,1043.0,1043.0,1043.0,2013-06-03,1043.0,1043.0,2013-07-12,2013-03-22,False,39 days 00:00:00.000000000
2013-06-04,1.0,11.0,JM1307.DCE,,1060.0,1060.0,1060.0,2013-06-04,1060.0,1060.0,2013-07-12,2013-03-22,False,38 days 00:00:00.000000000
