date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2013-03-22,1267.0,,1304.0,1257.0,96086.0,1280.0,1276.0,845512.0,2013-03-22,JM1309.DCE,2013-03-22,2013-09-13,True
2013-03-25,1258.0,,1286.0,1251.0,139712.0,1276.0,1266.0,722022.0,2013-03-25,JM1309.DCE,2013-03-22,2013-09-13,False
2013-03-26,1272.0,,1276.0,1249.0,141544.0,1255.0,1265.0,835326.0,2013-03-26,JM1309.DCE,2013-03-22,2013-09-13,False
2013-03-27,1261.0,,1279.0,1260.0,126094.0,1279.0,1266.0,499234.0,2013-03-27,JM1309.DCE,2013-03-22,2013-09-13,False
2013-03-28,1259.0,,1273.0,1248.0,99004.0,1264.0,1263.0,646266.0,2013-03-28,JM1309.DCE,2013-03-22,2013-09-13,False
2013-03-29,1240.0,,1268.0,1231.0,96024.0,1257.0,1252.0,734728.0,2013-03-29,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-01,1202.0,,1242.0,1202.0,155262.0,1235.0,1215.0,710132.0,2013-04-01,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-02,1228.0,,1231.0,1192.0,130106.0,1197.0,1209.0,1049448.0,2013-04-02,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-03,1216.0,,1233.0,1214.0,103114.0,1225.0,1221.0,606564.0,2013-04-03,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-08,1220.0,,1223.0,1197.0,121180.0,1199.0,1211.0,555970.0,2013-04-08,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-09,1223.0,,1232.0,1213.0,143828.0,1222.0,1223.0,551698.0,2013-04-09,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-10,1215.0,,1227.0,1211.0,133686.0,1225.0,1218.0,377802.0,2013-04-10,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-11,1206.0,,1225.0,1202.0,137344.0,1209.0,1214.0,403510.0,2013-04-11,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-12,1209.0,,1220.0,1203.0,137526.0,1206.0,1212.0,462186.0,2013-04-12,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-15,1174.0,,1195.0,1164.0,128974.0,1191.0,1181.0,442460.0,2013-04-15,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-16,1179.0,,1180.0,1151.0,118742.0,1160.0,1170.0,326226.0,2013-04-16,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-17,1165.0,,1189.0,1148.0,121140.0,1182.0,1163.0,702122.0,2013-04-17,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-18,1157.0,,1169.0,1127.0,123652.0,1149.0,1145.0,571028.0,2013-04-18,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-19,1163.0,,1167.0,1148.0,123092.0,1160.0,1158.0,428568.0,2013-04-19,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-22,1146.0,,1164.0,1146.0,112424.0,1161.0,1150.0,273978.0,2013-04-22,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-23,1134.0,,1153.0,1129.0,104430.0,1151.0,1139.0,239490.0,2013-04-23,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-24,1145.0,,1158.0,1129.0,98632.0,1134.0,1141.0,410522.0,2013-04-24,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-25,1142.0,,1148.0,1137.0,87468.0,1144.0,1142.0,158444.0,2013-04-25,JM1309.DCE,2013-03-22,2013-09-13,False
2013-04-26,1138.0,,1155.0,1136.0,76072.0,1147.0,1145.0,165514.0,2013-04-26,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-02,1119.0,,1123.0,1102.0,82206.0,1123.0,1118.0,111004.0,2013-05-02,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-03,1129.0,,1138.0,1124.0,91990.0,1128.0,1129.0,182180.0,2013-05-03,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-06,1140.0,,1149.0,1135.0,86880.0,1147.0,1141.0,119430.0,2013-05-06,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-07,1134.0,,1148.0,1131.0,82130.0,1135.0,1138.0,108358.0,2013-05-07,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-08,1148.0,,1149.0,1132.0,85916.0,1133.0,1140.0,89126.0,2013-05-08,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-09,1142.0,,1150.0,1138.0,83144.0,1146.0,1143.0,89712.0,2013-05-09,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-10,1150.0,,1153.0,1137.0,81344.0,1142.0,1144.0,87178.0,2013-05-10,JM1309.DCE,2013-03-22,2013-09-13,False
2013-05-13,1178.0,,1187.0,1146.0,90620.0,1150.0,1172.0,339222.0,2013-05-13,JM1309.DCE,2013-03-22,2013-09-13,False
