date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2007-07-31,12535.0,,13000.0,12475.0,1010.0,12880.0,12670.0,6200.0,2007-07-31,L0710.DCE,2007-07-31,2007-10-19,True
2007-08-01,12420.0,,12560.0,12380.0,724.0,12560.0,12475.0,800.0,2007-08-01,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-02,12340.0,,12360.0,12015.0,682.0,12320.0,12315.0,248.0,2007-08-02,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-03,12380.0,,12430.0,12160.0,658.0,12160.0,12365.0,232.0,2007-08-03,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-06,12410.0,,12500.0,12370.0,616.0,12380.0,12430.0,268.0,2007-08-06,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-07,12390.0,,12445.0,12345.0,586.0,12345.0,12405.0,182.0,2007-08-07,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-08,12460.0,,12475.0,12440.0,576.0,12445.0,12450.0,138.0,2007-08-08,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-09,12600.0,,12600.0,12450.0,548.0,12500.0,12505.0,204.0,2007-08-09,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-10,12555.0,,12670.0,12530.0,560.0,12580.0,12550.0,128.0,2007-08-10,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-13,12480.0,,12575.0,12480.0,556.0,12500.0,12515.0,124.0,2007-08-13,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-14,12400.0,,12480.0,12335.0,548.0,12480.0,12415.0,124.0,2007-08-14,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-15,12400.0,,12480.0,12320.0,550.0,12320.0,12425.0,150.0,2007-08-15,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-16,12410.0,,12475.0,12400.0,550.0,12455.0,12410.0,88.0,2007-08-16,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-17,12350.0,,12350.0,11925.0,538.0,11925.0,12325.0,192.0,2007-08-17,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-20,12400.0,,12495.0,12380.0,548.0,12380.0,12385.0,108.0,2007-08-20,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-21,12370.0,,12370.0,12250.0,548.0,12335.0,12360.0,114.0,2007-08-21,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-22,12345.0,,12400.0,12300.0,548.0,12300.0,12380.0,108.0,2007-08-22,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-23,12400.0,,12400.0,12400.0,548.0,12400.0,12400.0,10.0,2007-08-23,L0710.DCE,2007-07-31,2007-10-19,False
2007-08-24,12385.0,,12385.0,12265.0,548.0,12265.0,12380.0,104.0,2007-08-24,L0710.DCE,2007-07-31,2007-10-19,False
