date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2007-07-31,12580.0,,12900.0,12435.0,2428.0,12780.0,12610.0,21556.0,2007-07-31,L0711.DCE,2007-07-31,2007-11-14,True
2007-08-01,12450.0,,12650.0,12390.0,2294.0,12650.0,12490.0,4728.0,2007-08-01,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-02,12460.0,,12490.0,12300.0,2740.0,12410.0,12410.0,5116.0,2007-08-02,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-03,12495.0,,12560.0,12410.0,3026.0,12440.0,12495.0,4810.0,2007-08-03,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-06,12550.0,,12670.0,12420.0,3696.0,12420.0,12580.0,6480.0,2007-08-06,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-07,12515.0,,12570.0,12440.0,2952.0,12455.0,12515.0,3044.0,2007-08-07,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-08,12580.0,,12640.0,12540.0,3024.0,12540.0,12590.0,2124.0,2007-08-08,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-09,12770.0,,12795.0,12560.0,4452.0,12575.0,12670.0,4630.0,2007-08-09,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-10,12700.0,,12850.0,12620.0,4708.0,12710.0,12720.0,8224.0,2007-08-10,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-13,12685.0,,12780.0,12660.0,4122.0,12745.0,12690.0,2740.0,2007-08-13,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-14,12530.0,,12680.0,12525.0,3864.0,12665.0,12575.0,3132.0,2007-08-14,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-15,12565.0,,12600.0,12520.0,3908.0,12530.0,12555.0,2166.0,2007-08-15,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-16,12515.0,,12620.0,12510.0,3598.0,12595.0,12540.0,2528.0,2007-08-16,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-17,12495.0,,12555.0,12320.0,3608.0,12480.0,12490.0,3214.0,2007-08-17,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-20,12555.0,,12580.0,12505.0,3080.0,12520.0,12540.0,2410.0,2007-08-20,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-21,12530.0,,12550.0,12500.0,2970.0,12530.0,12525.0,1396.0,2007-08-21,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-22,12545.0,,12550.0,12485.0,2956.0,12495.0,12520.0,1132.0,2007-08-22,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-23,12545.0,,12600.0,12535.0,3060.0,12600.0,12545.0,1230.0,2007-08-23,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-24,12515.0,,12560.0,12510.0,2914.0,12520.0,12525.0,886.0,2007-08-24,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-27,12455.0,,12525.0,12450.0,3500.0,12525.0,12475.0,1808.0,2007-08-27,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-28,12445.0,,12475.0,12415.0,3344.0,12455.0,12440.0,1054.0,2007-08-28,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-29,12390.0,,12440.0,12370.0,3764.0,12440.0,12395.0,1640.0,2007-08-29,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-30,12360.0,,12480.0,12345.0,3840.0,12480.0,12385.0,2076.0,2007-08-30,L0711.DCE,2007-07-31,2007-11-14,False
2007-08-31,12300.0,,12390.0,12250.0,3634.0,12390.0,12295.0,2210.0,2007-08-31,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-03,12360.0,,12380.0,12290.0,3922.0,12315.0,12345.0,1432.0,2007-09-03,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-04,12340.0,,12390.0,12325.0,3812.0,12360.0,12355.0,1698.0,2007-09-04,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-05,12320.0,,12340.0,12275.0,3766.0,12305.0,12315.0,1242.0,2007-09-05,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-06,12390.0,,12425.0,12310.0,3598.0,12310.0,12375.0,1842.0,2007-09-06,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-07,12405.0,,12455.0,12375.0,3566.0,12405.0,12405.0,1714.0,2007-09-07,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-10,12375.0,,12435.0,12330.0,3376.0,12410.0,12370.0,1308.0,2007-09-10,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-11,12370.0,,12420.0,12360.0,3188.0,12370.0,12390.0,1102.0,2007-09-11,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-12,12370.0,,12405.0,12330.0,3126.0,12370.0,12375.0,956.0,2007-09-12,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-13,12370.0,,12410.0,12370.0,2976.0,12410.0,12390.0,998.0,2007-09-13,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-14,12365.0,,12385.0,12350.0,2858.0,12350.0,12360.0,848.0,2007-09-14,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-17,12355.0,,12360.0,12280.0,2694.0,12280.0,12340.0,1036.0,2007-09-17,L0711.DCE,2007-07-31,2007-11-14,False
2007-09-18,12550.0,,12590.0,12505.0,2826.0,12550.0,12545.0,6654.0,2007-09-18,L0801.DCE,2007-07-31,2008-01-15,True
2007-09-19,12600.0,,12620.0,12570.0,3398.0,12590.0,12600.0,5834.0,2007-09-19,L0801.DCE,2007-07-31,2008-01-15,False
2007-09-20,12590.0,,12600.0,12510.0,3836.0,12595.0,12560.0,9494.0,2007-09-20,L0801.DCE,2007-07-31,2008-01-15,False
2007-09-21,12580.0,,12615.0,12560.0,3876.0,12610.0,12580.0,5954.0,2007-09-21,L0801.DCE,2007-07-31,2008-01-15,False
2007-09-24,12530.0,,12600.0,12515.0,3734.0,12595.0,12530.0,5190.0,2007-09-24,L0801.DCE,2007-07-31,2008-01-15,False
2007-09-25,12500.0,,12525.0,12465.0,3582.0,12500.0,12495.0,4356.0,2007-09-25,L0801.DCE,2007-07-31,2008-01-15,False
