date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2007-07-31,12710.0,,13000.0,12610.0,234.0,12800.0,12705.0,7872.0,2007-07-31,L0801.DCE,2007-07-31,2008-01-15,True
2007-08-01,12590.0,,12800.0,12575.0,214.0,12740.0,12690.0,1524.0,2007-08-01,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-02,12540.0,,12600.0,12410.0,192.0,12600.0,12475.0,1232.0,2007-08-02,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-03,12590.0,,12620.0,12470.0,190.0,12470.0,12590.0,966.0,2007-08-03,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-06,12680.0,,12750.0,12645.0,206.0,12645.0,12695.0,996.0,2007-08-06,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-07,12630.0,,12690.0,12595.0,198.0,12615.0,12640.0,974.0,2007-08-07,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-08,12660.0,,12700.0,12650.0,180.0,12700.0,12660.0,946.0,2007-08-08,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-09,12755.0,,12755.0,12570.0,182.0,12610.0,12640.0,1042.0,2007-08-09,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-10,12580.0,,12850.0,12580.0,172.0,12850.0,12725.0,960.0,2007-08-10,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-13,12665.0,,12735.0,12600.0,170.0,12710.0,12710.0,1044.0,2007-08-13,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-14,12525.0,,12680.0,12510.0,192.0,12580.0,12610.0,994.0,2007-08-14,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-15,12505.0,,12570.0,12470.0,244.0,12520.0,12525.0,1422.0,2007-08-15,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-16,12470.0,,12550.0,12415.0,248.0,12500.0,12490.0,1280.0,2007-08-16,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-17,12480.0,,12520.0,12300.0,222.0,12300.0,12445.0,2022.0,2007-08-17,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-20,12510.0,,12530.0,12430.0,218.0,12510.0,12495.0,1932.0,2007-08-20,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-21,12485.0,,12520.0,12455.0,234.0,12480.0,12495.0,1562.0,2007-08-21,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-22,12510.0,,12510.0,12465.0,234.0,12500.0,12485.0,1660.0,2007-08-22,L0801.DCE,2007-07-31,2008-01-15,False
2007-08-23,12585.0,,12595.0,12520.0,304.0,12520.0,12565.0,1528.0,2007-08-23,L0801.DCE,2007-07-31,2008-01-15,False
