date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2000-07-17,1996.0,,2160.0,1996.0,270.0,2160.0,2096.0,372.0,2000-07-17,M0105.DCE,2000-07-17,2001-05-21,True
2000-07-18,2038.0,,2146.0,2013.0,692.0,2013.0,2056.0,1084.0,2000-07-18,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-19,2012.0,,2040.0,2011.0,742.0,2040.0,2024.0,136.0,2000-07-19,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-20,2016.0,,2026.0,2006.0,742.0,2021.0,2016.0,60.0,2000-07-20,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-21,1970.0,,1998.0,1970.0,754.0,1990.0,1987.0,204.0,2000-07-21,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-24,1976.0,,1977.0,1930.0,748.0,1970.0,1965.0,118.0,2000-07-24,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-25,1998.0,,1998.0,1937.0,748.0,1938.0,1953.0,124.0,2000-07-25,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-26,1950.0,,1990.0,1940.0,748.0,1990.0,1968.0,62.0,2000-07-26,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-27,1948.0,,1987.0,1935.0,748.0,1987.0,1951.0,66.0,2000-07-27,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-28,1926.0,,1950.0,1922.0,742.0,1924.0,1936.0,158.0,2000-07-28,M0105.DCE,2000-07-17,2001-05-21,False
2000-07-31,1948.0,,1958.0,1940.0,742.0,1950.0,1945.0,708.0,2000-07-31,M0105.DCE,2000-07-17,2001-05-21,False
2000-08-01,1945.0,,1958.0,1940.0,742.0,1950.0,1945.0,708.0,2000-08-01,M0105.DCE,2000-07-17,2001-05-21,False
2000-08-02,1905.0,,1966.0,1900.0,752.0,1959.0,1924.0,438.0,2000-08-02,M0105.DCE,2000-07-17,2001-05-21,False
2000-08-03,1895.0,,1900.0,1871.0,822.0,1900.0,1886.0,420.0,2000-08-03,M0105.DCE,2000-07-17,2001-05-21,False
2000-08-04,1895.0,,1900.0,1871.0,822.0,1900.0,1886.0,420.0,2000-08-03,M0105.DCE,2000-07-17,2001-05-21,False
2000-08-07,1650.0,,1677.0,1605.0,8596.0,1661.0,1653.0,5100.0,2000-08-07,M0011.DCE,2000-07-17,2000-11-14,True
2000-08-08,1665.0,,1700.0,1650.0,10562.0,1650.0,1659.0,6042.0,2000-08-08,M0011.DCE,2000-07-17,2000-11-14,False
2000-08-09,1690.0,,1690.0,1650.0,8462.0,1650.0,1657.0,4102.0,2000-08-09,M0011.DCE,2000-07-17,2000-11-14,False
2000-08-10,1675.0,,1675.0,1650.0,10660.0,1650.0,1667.0,4202.0,2000-08-10,M0011.DCE,2000-07-17,2000-11-14,False
2000-08-11,1690.0,,1715.0,1660.0,8112.0,1660.0,1677.0,7868.0,2000-08-11,M0011.DCE,2000-07-17,2000-11-14,False
2000-08-14,1700.0,,1700.0,1700.0,8762.0,1700.0,1700.0,2320.0,2000-08-14,M0103.DCE,2000-07-17,2001-03-14,True
2000-08-15,1700.0,,1700.0,1700.0,9570.0,1700.0,1700.0,810.0,2000-08-15,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-16,1690.0,,1696.0,1686.0,10770.0,1690.0,1690.0,1200.0,2000-08-16,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-17,1700.0,,1710.0,1650.0,13420.0,1650.0,1689.0,4290.0,2000-08-17,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-18,1681.0,,1710.0,1655.0,12590.0,1655.0,1677.0,1066.0,2000-08-18,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-21,1700.0,,1710.0,1660.0,12328.0,1700.0,1689.0,2348.0,2000-08-21,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-22,1700.0,,1727.0,1660.0,11128.0,1660.0,1691.0,2630.0,2000-08-22,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-23,1702.0,,1720.0,1692.0,13130.0,1720.0,1706.0,4402.0,2000-08-23,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-24,1700.0,,1700.0,1698.0,12028.0,1700.0,1699.0,1320.0,2000-08-24,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-25,1700.0,,1710.0,1688.0,10528.0,1688.0,1699.0,3400.0,2000-08-25,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-28,1700.0,,1710.0,1688.0,10528.0,1688.0,1699.0,3400.0,2000-08-25,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-29,1735.0,,1745.0,1730.0,9348.0,1740.0,1739.0,2218.0,2000-08-29,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-30,1756.0,,1760.0,1730.0,7176.0,1750.0,1745.0,2336.0,2000-08-30,M0103.DCE,2000-07-17,2001-03-14,False
2000-08-31,1756.0,,1760.0,1730.0,7176.0,1750.0,1745.0,2336.0,2000-08-30,M0103.DCE,2000-07-17,2001-03-14,False
2000-09-01,1797.0,,1797.0,1770.0,10786.0,1770.0,1794.0,3622.0,2000-09-01,M0103.DCE,2000-07-17,2001-03-14,False
2000-09-04,1797.0,,1797.0,1770.0,10786.0,1770.0,1794.0,3622.0,2000-09-01,M0103.DCE,2000-07-17,2001-03-14,False
2000-09-05,1820.0,,1850.0,1810.0,13104.0,1850.0,1820.0,10874.0,2000-09-05,M0101.DCE,2000-07-17,2001-01-15,True
2000-09-06,1781.0,,1830.0,1781.0,10894.0,1810.0,1803.0,5590.0,2000-09-06,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-07,1750.0,,1770.0,1731.0,12170.0,1770.0,1750.0,1758.0,2000-09-07,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-08,1770.0,,1788.0,1751.0,20650.0,1780.0,1775.0,8546.0,2000-09-08,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-11,1800.0,,1872.0,1790.0,13408.0,1805.0,1802.0,9332.0,2000-09-11,M0103.DCE,2000-07-17,2001-03-14,True
2000-09-12,1800.0,,1872.0,1790.0,13408.0,1805.0,1802.0,9332.0,2000-09-11,M0103.DCE,2000-07-17,2001-03-14,False
2000-09-13,1740.0,,1750.0,1710.0,14414.0,1710.0,1741.0,5784.0,2000-09-13,M0101.DCE,2000-07-17,2001-01-15,True
2000-09-14,1790.0,,1877.0,1783.0,17894.0,1877.0,1804.0,5408.0,2000-09-14,M0103.DCE,2000-07-17,2001-03-14,True
2000-09-15,1780.0,,1800.0,1760.0,16300.0,1780.0,1774.0,12376.0,2000-09-15,M0103.DCE,2000-07-17,2001-03-14,False
2000-09-18,1780.0,,1800.0,1760.0,16300.0,1780.0,1774.0,12376.0,2000-09-15,M0103.DCE,2000-07-17,2001-03-14,False
2000-09-19,1749.0,,1749.0,1715.0,23238.0,1720.0,1724.0,12008.0,2000-09-19,M0101.DCE,2000-07-17,2001-01-15,True
2000-09-20,1738.0,,1738.0,1720.0,19236.0,1720.0,1725.0,4002.0,2000-09-20,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-21,1760.0,,1779.0,1746.0,19836.0,1750.0,1752.0,8400.0,2000-09-21,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-22,1750.0,,1750.0,1740.0,18536.0,1750.0,1749.0,6700.0,2000-09-22,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-25,1715.0,,1760.0,1705.0,18542.0,1760.0,1727.0,14010.0,2000-09-25,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-26,1750.0,,1770.0,1710.0,18522.0,1720.0,1730.0,8660.0,2000-09-26,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-27,1725.0,,1750.0,1713.0,21922.0,1750.0,1732.0,17400.0,2000-09-27,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-28,1720.0,,1750.0,1715.0,18122.0,1750.0,1724.0,11000.0,2000-09-28,M0101.DCE,2000-07-17,2001-01-15,False
2000-09-29,1730.0,,1750.0,1720.0,4622.0,1750.0,1738.0,13500.0,2000-09-29,M0101.DCE,2000-07-17,2001-01-15,False
2000-10-09,1738.0,,1750.0,1720.0,4622.0,1750.0,1738.0,13500.0,2000-10-09,M0101.DCE,2000-07-17,2001-01-15,False
2000-10-10,1720.0,,1738.0,1710.0,4622.0,1710.0,1722.0,6.0,2000-10-10,M0101.DCE,2000-07-17,2001-01-15,False
2000-10-11,1722.0,,1738.0,1710.0,4622.0,1710.0,1722.0,6.0,2000-10-11,M0101.DCE,2000-07-17,2001-01-15,False
2000-10-12,1920.0,,1920.0,1911.0,5068.0,1911.0,1917.0,2582.0,2000-10-12,M0105.DCE,2000-07-17,2001-05-21,True
2000-10-13,1925.0,,1939.0,1918.0,7068.0,1920.0,1921.0,2010.0,2000-10-13,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-16,1933.0,,1933.0,1933.0,7068.0,1933.0,1933.0,40.0,2000-10-16,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-17,1925.0,,1930.0,1917.0,7098.0,1918.0,1917.0,1918.0,2000-10-17,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-18,1915.0,,1918.0,1907.0,7154.0,1918.0,1916.0,2150.0,2000-10-18,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-19,1914.0,,1924.0,1902.0,8002.0,1923.0,1921.0,2896.0,2000-10-19,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-20,1905.0,,1913.0,1900.0,8942.0,1905.0,1906.0,1198.0,2000-10-20,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-23,1910.0,,1910.0,1904.0,9002.0,1904.0,1907.0,140.0,2000-10-23,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-24,1904.0,,1918.0,1900.0,9250.0,1912.0,1904.0,382.0,2000-10-24,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-25,1908.0,,1912.0,1890.0,9140.0,1890.0,1903.0,550.0,2000-10-25,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-26,1912.0,,1915.0,1901.0,7776.0,1902.0,1902.0,1386.0,2000-10-26,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-27,1910.0,,1910.0,1900.0,7016.0,1901.0,1903.0,952.0,2000-10-27,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-30,1910.0,,1910.0,1900.0,7016.0,1901.0,1903.0,952.0,2000-10-27,M0105.DCE,2000-07-17,2001-05-21,False
2000-10-31,1900.0,,1918.0,1891.0,6922.0,1895.0,1898.0,5234.0,2000-10-31,M0105.DCE,2000-07-17,2001-05-21,False
2000-11-01,1900.0,,1918.0,1891.0,6922.0,1895.0,1898.0,5234.0,2000-10-31,M0105.DCE,2000-07-17,2001-05-21,False
2000-11-02,1808.0,,1820.0,1805.0,4048.0,1820.0,1808.0,1020.0,2000-11-02,M0103.DCE,2000-07-17,2001-03-14,True
2000-11-03,1801.0,,1810.0,1800.0,4132.0,1810.0,1805.0,1144.0,2000-11-03,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-06,1795.0,,1801.0,1785.0,4002.0,1795.0,1794.0,1152.0,2000-11-06,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-07,1805.0,,1809.0,1730.0,4014.0,1795.0,1797.0,1018.0,2000-11-07,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-08,1817.0,,1830.0,1801.0,4160.0,1801.0,1815.0,1016.0,2000-11-08,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-09,1810.0,,1819.0,1808.0,4006.0,1819.0,1815.0,2052.0,2000-11-09,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-10,1812.0,,1820.0,1802.0,4224.0,1802.0,1814.0,2016.0,2000-11-10,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-13,1812.0,,1820.0,1810.0,4194.0,1815.0,1812.0,1698.0,2000-11-13,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-14,1806.0,,1815.0,1806.0,4230.0,1810.0,1810.0,1524.0,2000-11-14,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-15,1812.0,,1816.0,1809.0,4324.0,1811.0,1813.0,1628.0,2000-11-15,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-16,1811.0,,1815.0,1805.0,4306.0,1815.0,1809.0,1320.0,2000-11-16,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-17,1812.0,,1815.0,1810.0,4150.0,1810.0,1811.0,1040.0,2000-11-17,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-20,1825.0,,1830.0,1810.0,4126.0,1810.0,1817.0,2034.0,2000-11-20,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-21,1831.0,,1834.0,1826.0,4080.0,1826.0,1828.0,2024.0,2000-11-21,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-22,1827.0,,1834.0,1826.0,4110.0,1826.0,1827.0,2022.0,2000-11-22,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-23,1836.0,,1840.0,1825.0,4116.0,1825.0,1830.0,2012.0,2000-11-23,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-24,1855.0,,1855.0,1840.0,4068.0,1840.0,1843.0,2018.0,2000-11-24,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-27,1841.0,,1849.0,1840.0,3426.0,1845.0,1843.0,2032.0,2000-11-27,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-28,1839.0,,1845.0,1800.0,3392.0,1841.0,1831.0,2024.0,2000-11-28,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-29,1832.0,,1841.0,1831.0,3004.0,1840.0,1834.0,2032.0,2000-11-29,M0103.DCE,2000-07-17,2001-03-14,False
2000-11-30,1821.0,,1826.0,1780.0,2946.0,1820.0,1813.0,2110.0,2000-11-30,M0103.DCE,2000-07-17,2001-03-14,False
2000-12-01,2061.0,,2066.0,2053.0,2978.0,2063.0,2059.0,1070.0,2000-12-01,M0107.DCE,2000-07-17,2001-07-13,True
2000-12-04,2050.0,,2068.0,2050.0,3002.0,2059.0,2061.0,1158.0,2000-12-04,M0107.DCE,2000-07-17,2001-07-13,False
2000-12-05,2054.0,,2064.0,2051.0,3000.0,2051.0,2056.0,1024.0,2000-12-05,M0107.DCE,2000-07-17,2001-07-13,False
2000-12-06,2085.0,,2105.0,2061.0,3050.0,2061.0,2065.0,1128.0,2000-12-06,M0107.DCE,2000-07-17,2001-07-13,False
