date,VOLUME,OI,specific_contract,DEALNUM,HIGH,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2014-06-17,1053.0,601.0,MA1506.CZC,,2897.0,2862.0,2826.0,2014-06-17,2854.0,2868.0,2015-06-12,2014-06-17,True,360 days 00:00:00.000000000
2014-06-18,1059.0,1088.0,MA1506.CZC,,2902.0,2885.0,2833.0,2014-06-18,2896.0,2858.0,2015-06-12,2014-06-17,False,359 days 00:00:00.000000000
2014-06-19,1766.0,1478.0,MA1506.CZC,,2929.0,2910.0,2890.0,2014-06-19,2901.0,2901.0,2015-06-12,2014-06-17,False,358 days 00:00:00.000000000
2014-06-20,752.0,1489.0,MA1506.CZC,,2919.0,2907.0,2896.0,2014-06-20,2908.0,2905.0,2015-06-12,2014-06-17,False,357 days 00:00:00.000000000
2014-06-23,1240.0,1448.0,MA1506.CZC,,2950.0,2919.0,2896.0,2014-06-23,2910.0,2910.0,2015-06-12,2014-06-17,False,354 days 00:00:00.000000000
2014-06-24,845.0,1481.0,MA1506.CZC,,2948.0,2923.0,2903.0,2014-06-24,2939.0,2906.0,2015-06-12,2014-06-17,False,353 days 00:00:00.000000000
2014-06-25,2174.0,2096.0,MA1506.CZC,,2991.0,2965.0,2933.0,2014-06-25,2987.0,2941.0,2015-06-12,2014-06-17,False,352 days 00:00:00.000000000
2014-06-26,2610.0,1993.0,MA1506.CZC,,3020.0,3003.0,2970.0,2014-06-26,3004.0,2990.0,2015-06-12,2014-06-17,False,351 days 00:00:00.000000000
2014-06-27,1420.0,1993.0,MA1506.CZC,,3008.0,2991.0,2978.0,2014-06-27,2987.0,3004.0,2015-06-12,2014-06-17,False,350 days 00:00:00.000000000
2014-06-30,1510.0,2004.0,MA1506.CZC,,3005.0,2990.0,2966.0,2014-06-30,2991.0,2983.0,2015-06-12,2014-06-17,False,347 days 00:00:00.000000000
2014-07-01,1824.0,2102.0,MA1506.CZC,,3002.0,2980.0,2963.0,2014-07-01,2977.0,2994.0,2015-06-12,2014-06-17,False,346 days 00:00:00.000000000
2014-07-02,1575.0,2179.0,MA1506.CZC,,2992.0,2965.0,2911.0,2014-07-02,2965.0,2982.0,2015-06-12,2014-06-17,False,345 days 00:00:00.000000000
2014-07-03,963.0,2400.0,MA1506.CZC,,2975.0,2964.0,2946.0,2014-07-03,2962.0,2958.0,2015-06-12,2014-06-17,False,344 days 00:00:00.000000000
2014-07-04,727.0,2375.0,MA1506.CZC,,2972.0,2962.0,2951.0,2014-07-04,2960.0,2961.0,2015-06-12,2014-06-17,False,343 days 00:00:00.000000000
2014-07-07,2361.0,2902.0,MA1506.CZC,,3013.0,2986.0,2954.0,2014-07-07,3012.0,2956.0,2015-06-12,2014-06-17,False,340 days 00:00:00.000000000
2014-07-08,3039.0,3456.0,MA1506.CZC,,3038.0,3016.0,2996.0,2014-07-08,3001.0,3013.0,2015-06-12,2014-06-17,False,339 days 00:00:00.000000000
2014-07-09,1958.0,3005.0,MA1506.CZC,,3003.0,2978.0,2958.0,2014-07-09,2958.0,3000.0,2015-06-12,2014-06-17,False,338 days 00:00:00.000000000
2014-07-10,1676.0,2723.0,MA1506.CZC,,2964.0,2946.0,2931.0,2014-07-10,2937.0,2956.0,2015-06-12,2014-06-17,False,337 days 00:00:00.000000000
2014-07-11,1166.0,2758.0,MA1506.CZC,,2958.0,2937.0,2915.0,2014-07-11,2919.0,2940.0,2015-06-12,2014-06-17,False,336 days 00:00:00.000000000
2014-07-14,1057.0,2651.0,MA1506.CZC,,2926.0,2894.0,2825.0,2014-07-14,2904.0,2919.0,2015-06-12,2014-06-17,False,333 days 00:00:00.000000000
2014-07-15,643.0,2749.0,MA1506.CZC,,2920.0,2900.0,2882.0,2014-07-15,2900.0,2908.0,2015-06-12,2014-06-17,False,332 days 00:00:00.000000000
2014-07-16,560.0,2655.0,MA1506.CZC,,2905.0,2887.0,2873.0,2014-07-16,2880.0,2905.0,2015-06-12,2014-06-17,False,331 days 00:00:00.000000000
2014-07-17,1234.0,2727.0,MA1506.CZC,,2932.0,2912.0,2875.0,2014-07-17,2912.0,2880.0,2015-06-12,2014-06-17,False,330 days 00:00:00.000000000
2014-07-18,1340.0,2566.0,MA1506.CZC,,2925.0,2887.0,2842.0,2014-07-18,2866.0,2915.0,2015-06-12,2014-06-17,False,329 days 00:00:00.000000000
2014-07-21,519.0,2547.0,MA1506.CZC,,2879.0,2868.0,2851.0,2014-07-21,2863.0,2866.0,2015-06-12,2014-06-17,False,326 days 00:00:00.000000000
2014-07-22,747.0,2478.0,MA1506.CZC,,2890.0,2873.0,2851.0,2014-07-22,2880.0,2866.0,2015-06-12,2014-06-17,False,325 days 00:00:00.000000000
2014-07-23,742.0,2435.0,MA1506.CZC,,2897.0,2880.0,2835.0,2014-07-23,2873.0,2880.0,2015-06-12,2014-06-17,False,324 days 00:00:00.000000000
2014-07-24,537.0,2444.0,MA1506.CZC,,2895.0,2879.0,2850.0,2014-07-24,2876.0,2875.0,2015-06-12,2014-06-17,False,323 days 00:00:00.000000000
2014-07-25,470.0,2500.0,MA1506.CZC,,2896.0,2883.0,2872.0,2014-07-25,2892.0,2875.0,2015-06-12,2014-06-17,False,322 days 00:00:00.000000000
2014-07-28,1095.0,2545.0,MA1506.CZC,,2943.0,2921.0,2862.0,2014-07-28,2940.0,2897.0,2015-06-12,2014-06-17,False,319 days 00:00:00.000000000
2014-07-29,545.0,2464.0,MA1506.CZC,,2948.0,2934.0,2925.0,2014-07-29,2929.0,2934.0,2015-06-12,2014-06-17,False,318 days 00:00:00.000000000
2014-07-30,835.0,2437.0,MA1506.CZC,,2940.0,2921.0,2903.0,2014-07-30,2932.0,2921.0,2015-06-12,2014-06-17,False,317 days 00:00:00.000000000
2014-07-31,513.0,2413.0,MA1506.CZC,,2943.0,2927.0,2915.0,2014-07-31,2917.0,2921.0,2015-06-12,2014-06-17,False,316 days 00:00:00.000000000
2014-08-01,1046.0,2078.0,MA1506.CZC,,2912.0,2896.0,2881.0,2014-08-01,2882.0,2900.0,2015-06-12,2014-06-17,False,315 days 00:00:00.000000000
2014-08-04,387.0,2062.0,MA1506.CZC,,2906.0,2892.0,2875.0,2014-08-04,2901.0,2880.0,2015-06-12,2014-06-17,False,312 days 00:00:00.000000000
2014-08-05,699.0,2051.0,MA1506.CZC,,2919.0,2910.0,2900.0,2014-08-05,2905.0,2901.0,2015-06-12,2014-06-17,False,311 days 00:00:00.000000000
2014-08-06,443.0,2006.0,MA1506.CZC,,2901.0,2884.0,2831.0,2014-08-06,2889.0,2901.0,2015-06-12,2014-06-17,False,310 days 00:00:00.000000000
2014-08-07,880.0,1874.0,MA1506.CZC,,2988.0,2899.0,2883.0,2014-08-07,2883.0,2884.0,2015-06-12,2014-06-17,False,309 days 00:00:00.000000000
2014-08-08,906.0,1973.0,MA1506.CZC,,2937.0,2910.0,2883.0,2014-08-08,2935.0,2883.0,2015-06-12,2014-06-17,False,308 days 00:00:00.000000000
2014-08-11,823.0,1835.0,MA1506.CZC,,2956.0,2929.0,2916.0,2014-08-11,2925.0,2932.0,2015-06-12,2014-06-17,False,305 days 00:00:00.000000000
2014-08-12,752.0,1742.0,MA1506.CZC,,2937.0,2915.0,2901.0,2014-08-12,2917.0,2910.0,2015-06-12,2014-06-17,False,304 days 00:00:00.000000000
2014-08-13,1874.0,2027.0,MA1506.CZC,,3012.0,2987.0,2933.0,2014-08-13,2990.0,2936.0,2015-06-12,2014-06-17,False,303 days 00:00:00.000000000
2014-08-14,1135.0,2133.0,MA1506.CZC,,2999.0,2984.0,2970.0,2014-08-14,2995.0,2989.0,2015-06-12,2014-06-17,False,302 days 00:00:00.000000000
2014-08-15,944.0,2060.0,MA1506.CZC,,2998.0,2977.0,2958.0,2014-08-15,2976.0,2988.0,2015-06-12,2014-06-17,False,301 days 00:00:00.000000000
2014-08-18,874.0,2107.0,MA1506.CZC,,2986.0,2976.0,2961.0,2014-08-18,2978.0,2975.0,2015-06-12,2014-06-17,False,298 days 00:00:00.000000000
2014-08-19,1589.0,2562.0,MA1506.CZC,,2997.0,2987.0,2970.0,2014-08-19,2987.0,2974.0,2015-06-12,2014-06-17,False,297 days 00:00:00.000000000
2014-08-20,806.0,2384.0,MA1506.CZC,,2987.0,2970.0,2963.0,2014-08-20,2968.0,2987.0,2015-06-12,2014-06-17,False,296 days 00:00:00.000000000
2014-08-21,733.0,2277.0,MA1506.CZC,,2984.0,2970.0,2960.0,2014-08-21,2964.0,2972.0,2015-06-12,2014-06-17,False,295 days 00:00:00.000000000
2014-08-22,774.0,2090.0,MA1506.CZC,,2970.0,2952.0,2940.0,2014-08-22,2943.0,2963.0,2015-06-12,2014-06-17,False,294 days 00:00:00.000000000
2014-08-25,1736.0,2386.0,MA1506.CZC,,2945.0,2914.0,2890.0,2014-08-25,2891.0,2942.0,2015-06-12,2014-06-17,False,291 days 00:00:00.000000000
2014-08-26,3283.0,3521.0,MA1506.CZC,,2889.0,2852.0,2832.0,2014-08-26,2840.0,2882.0,2015-06-12,2014-06-17,False,290 days 00:00:00.000000000
