date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2015-03-30,2015-03-30,NI1508.SHF,2015-08-17,398.0,476.0,,105990.0,98380.0,97010.0,98520.0,99200.0,2015-03-27,True,140 days 00:00:00.000000000
2015-03-31,2015-03-31,NI1508.SHF,2015-08-17,1035.0,1095.0,,98110.0,95420.0,94100.0,94900.0,97170.0,2015-03-27,False,139 days 00:00:00.000000000
2015-04-01,2015-04-01,NI1508.SHF,2015-08-17,628.0,1203.0,,94090.0,92910.0,91600.0,92700.0,93840.0,2015-03-27,False,138 days 00:00:00.000000000
2015-04-02,2015-04-02,NI1508.SHF,2015-08-17,728.0,1004.0,,96150.0,94220.0,92500.0,96000.0,93090.0,2015-03-27,False,137 days 00:00:00.000000000
2015-04-03,2015-04-03,NI1508.SHF,2015-08-17,159.0,1036.0,,97800.0,96390.0,95500.0,96900.0,95550.0,2015-03-27,False,136 days 00:00:00.000000000
2015-04-07,2015-04-07,NI1508.SHF,2015-08-17,611.0,1358.0,,97580.0,96450.0,95500.0,96070.0,97220.0,2015-03-27,False,132 days 00:00:00.000000000
2015-04-08,2015-04-08,NI1508.SHF,2015-08-17,809.0,1538.0,,95150.0,94280.0,93100.0,93550.0,94410.0,2015-03-27,False,131 days 00:00:00.000000000
2015-04-09,2015-04-09,NI1509.SHF,2015-09-15,919.0,1904.0,,94760.0,94040.0,93400.0,93700.0,94060.0,2015-03-27,True,159 days 00:00:00.000000000
2015-04-10,2015-04-10,NI1509.SHF,2015-09-15,539.0,2010.0,,94480.0,93820.0,92900.0,94140.0,93960.0,2015-03-27,False,158 days 00:00:00.000000000
2015-04-13,2015-04-13,NI1509.SHF,2015-09-15,1656.0,2185.0,,94900.0,94110.0,93300.0,94560.0,94500.0,2015-03-27,False,155 days 00:00:00.000000000
2015-04-14,2015-04-14,NI1509.SHF,2015-09-15,3781.0,3697.0,,94390.0,93140.0,92320.0,92680.0,94020.0,2015-03-27,False,154 days 00:00:00.000000000
2015-04-15,2015-04-15,NI1509.SHF,2015-09-15,2514.0,4099.0,,94140.0,93600.0,92200.0,93790.0,92250.0,2015-03-27,False,153 days 00:00:00.000000000
2015-04-16,2015-04-16,NI1509.SHF,2015-09-15,2451.0,4457.0,,94580.0,93990.0,93240.0,94340.0,93810.0,2015-03-27,False,152 days 00:00:00.000000000
2015-04-17,2015-04-17,NI1509.SHF,2015-09-15,2600.0,5030.0,,95470.0,94430.0,93840.0,94220.0,95470.0,2015-03-27,False,151 days 00:00:00.000000000
2015-04-20,2015-04-20,NI1509.SHF,2015-09-15,2175.0,5287.0,,94770.0,94120.0,93670.0,93700.0,94120.0,2015-03-27,False,148 days 00:00:00.000000000
2015-04-21,2015-04-21,NI1509.SHF,2015-09-15,2074.0,4812.0,,94920.0,94270.0,93510.0,94140.0,93850.0,2015-03-27,False,147 days 00:00:00.000000000
2015-04-22,2015-04-22,NI1509.SHF,2015-09-15,822.0,4796.0,,95000.0,94630.0,94350.0,94860.0,94370.0,2015-03-27,False,146 days 00:00:00.000000000
2015-04-23,2015-04-23,NI1509.SHF,2015-09-15,1320.0,5199.0,,95160.0,94930.0,94580.0,94700.0,94700.0,2015-03-27,False,145 days 00:00:00.000000000
2015-04-24,2015-04-24,NI1509.SHF,2015-09-15,3370.0,6375.0,,96210.0,95590.0,94670.0,96190.0,94880.0,2015-03-27,False,144 days 00:00:00.000000000
2015-04-27,2015-04-27,NI1509.SHF,2015-09-15,10663.0,9183.0,,100360.0,99310.0,96430.0,100360.0,96570.0,2015-03-27,False,141 days 00:00:00.000000000
2015-04-28,2015-04-28,NI1509.SHF,2015-09-15,8455.0,10346.0,,102900.0,101300.0,99800.0,101040.0,101190.0,2015-03-27,False,140 days 00:00:00.000000000
2015-04-29,2015-04-29,NI1509.SHF,2015-09-15,9226.0,11606.0,,103090.0,101000.0,99060.0,99810.0,101110.0,2015-03-27,False,139 days 00:00:00.000000000
2015-04-30,2015-04-30,NI1509.SHF,2015-09-15,13602.0,14805.0,,105600.0,102780.0,99850.0,104490.0,99860.0,2015-03-27,False,138 days 00:00:00.000000000
2015-05-04,2015-05-04,NI1509.SHF,2015-09-15,7661.0,15761.0,,107010.0,105670.0,104110.0,106200.0,104390.0,2015-03-27,False,134 days 00:00:00.000000000
2015-05-05,2015-05-05,NI1509.SHF,2015-09-15,16088.0,18319.0,,107690.0,106230.0,104600.0,106020.0,106500.0,2015-03-27,False,133 days 00:00:00.000000000
2015-05-06,2015-05-06,NI1509.SHF,2015-09-15,39203.0,25948.0,,111520.0,109310.0,106700.0,109600.0,106700.0,2015-03-27,False,132 days 00:00:00.000000000
2015-05-07,2015-05-07,NI1509.SHF,2015-09-15,41850.0,30849.0,,110490.0,107350.0,105500.0,106090.0,110030.0,2015-03-27,False,131 days 00:00:00.000000000
2015-05-08,2015-05-08,NI1509.SHF,2015-09-15,53703.0,31185.0,,109220.0,107630.0,106060.0,109200.0,106980.0,2015-03-27,False,130 days 00:00:00.000000000
2015-05-11,2015-05-11,NI1509.SHF,2015-09-15,51106.0,36922.0,,111630.0,109860.0,107950.0,111020.0,108590.0,2015-03-27,False,127 days 00:00:00.000000000
2015-05-12,2015-05-12,NI1509.SHF,2015-09-15,60200.0,38283.0,,110660.0,108940.0,107000.0,107600.0,110000.0,2015-03-27,False,126 days 00:00:00.000000000
2015-05-13,2015-05-13,NI1509.SHF,2015-09-15,61239.0,38093.0,,110000.0,108520.0,107330.0,108550.0,108000.0,2015-03-27,False,125 days 00:00:00.000000000
2015-05-14,2015-05-14,NI1509.SHF,2015-09-15,48298.0,40023.0,,108550.0,106830.0,105000.0,106420.0,108330.0,2015-03-27,False,124 days 00:00:00.000000000
2015-05-15,2015-05-15,NI1509.SHF,2015-09-15,38702.0,43174.0,,107600.0,106610.0,105660.0,106810.0,106130.0,2015-03-27,False,123 days 00:00:00.000000000
