date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2014-02-28,10657.0,,10720.0,10604.0,21256.0,10680.0,10670.0,97582.0,2014-02-28,PP1405.DCE,2014-02-28,2014-05-16,True
2014-03-03,10632.0,,10790.0,10602.0,18328.0,10696.0,10652.0,44726.0,2014-03-03,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-04,10706.0,,10717.0,10602.0,21784.0,10632.0,10660.0,23872.0,2014-03-04,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-05,10710.0,,10732.0,10676.0,27896.0,10710.0,10700.0,23616.0,2014-03-05,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-06,10640.0,,10700.0,10560.0,28898.0,10700.0,10630.0,37168.0,2014-03-06,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-07,10630.0,,10648.0,10600.0,29338.0,10630.0,10626.0,12752.0,2014-03-07,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-10,10504.0,,10595.0,10451.0,29378.0,10588.0,10515.0,25378.0,2014-03-10,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-11,10555.0,,10670.0,10440.0,27980.0,10500.0,10544.0,12912.0,2014-03-11,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-12,10655.0,,10655.0,10489.0,29378.0,10500.0,10584.0,10090.0,2014-03-12,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-13,10663.0,,10688.0,10616.0,28192.0,10640.0,10649.0,5278.0,2014-03-13,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-14,10698.0,,10711.0,10620.0,24964.0,10640.0,10678.0,13272.0,2014-03-14,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-17,10693.0,,10757.0,10623.0,22520.0,10702.0,10671.0,7174.0,2014-03-17,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-18,10820.0,,10825.0,10650.0,21576.0,10670.0,10756.0,10224.0,2014-03-18,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-19,10744.0,,10850.0,10740.0,20800.0,10850.0,10788.0,5744.0,2014-03-19,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-20,10781.0,,10797.0,10730.0,20732.0,10740.0,10773.0,2894.0,2014-03-20,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-21,10799.0,,10817.0,10755.0,20206.0,10775.0,10783.0,2348.0,2014-03-21,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-24,10821.0,,10849.0,10790.0,19588.0,10846.0,10816.0,1572.0,2014-03-24,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-25,10920.0,,10982.0,10809.0,18636.0,10809.0,10897.0,5814.0,2014-03-25,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-26,10973.0,,11005.0,10892.0,16576.0,10910.0,10949.0,6168.0,2014-03-26,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-27,10977.0,,11000.0,10950.0,16324.0,11000.0,10969.0,1486.0,2014-03-27,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-28,11039.0,,11039.0,10967.0,14770.0,10998.0,10994.0,2660.0,2014-03-28,PP1405.DCE,2014-02-28,2014-05-16,False
2014-03-31,11047.0,,11050.0,11018.0,13938.0,11038.0,11042.0,1362.0,2014-03-31,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-01,11098.0,,11130.0,11026.0,10272.0,11049.0,11090.0,5172.0,2014-04-01,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-02,11061.0,,11093.0,10730.0,9182.0,10730.0,10939.0,3358.0,2014-04-02,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-03,11184.0,,11270.0,11028.0,8402.0,11074.0,11175.0,3402.0,2014-04-03,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-04,11280.0,,11290.0,11239.0,7962.0,11263.0,11263.0,1156.0,2014-04-04,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-08,11212.0,,11304.0,11201.0,7638.0,11278.0,11235.0,644.0,2014-04-08,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-09,11201.0,,11220.0,11170.0,7690.0,11220.0,11199.0,394.0,2014-04-09,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-10,11170.0,,11245.0,11160.0,7236.0,11210.0,11220.0,890.0,2014-04-10,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-11,11239.0,,11239.0,11118.0,7084.0,11118.0,11196.0,646.0,2014-04-11,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-14,11300.0,,11308.0,11233.0,6636.0,11250.0,11258.0,694.0,2014-04-14,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-15,11314.0,,11380.0,11240.0,4956.0,11353.0,11273.0,2154.0,2014-04-15,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-16,11320.0,,11335.0,11265.0,4900.0,11297.0,11303.0,224.0,2014-04-16,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-17,11419.0,,11420.0,11337.0,4632.0,11358.0,11392.0,496.0,2014-04-17,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-18,11430.0,,11431.0,11371.0,4432.0,11371.0,11409.0,346.0,2014-04-18,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-21,11495.0,,11495.0,11370.0,4288.0,11430.0,11443.0,200.0,2014-04-21,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-22,11520.0,,11560.0,11415.0,4034.0,11419.0,11511.0,420.0,2014-04-22,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-23,11520.0,,11530.0,11470.0,3998.0,11500.0,11507.0,296.0,2014-04-23,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-24,11500.0,,11520.0,11443.0,3946.0,11497.0,11494.0,428.0,2014-04-24,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-25,11448.0,,11510.0,11418.0,3898.0,11510.0,11499.0,386.0,2014-04-25,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-28,11490.0,,11600.0,11440.0,3850.0,11502.0,11528.0,140.0,2014-04-28,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-29,11530.0,,11530.0,11426.0,3532.0,11426.0,11496.0,842.0,2014-04-29,PP1405.DCE,2014-02-28,2014-05-16,False
2014-04-30,11495.0,,11540.0,11457.0,3508.0,11528.0,11502.0,468.0,2014-04-30,PP1405.DCE,2014-02-28,2014-05-16,False
2014-05-05,11524.0,,11530.0,11524.0,3346.0,11530.0,11525.0,170.0,2014-05-05,PP1405.DCE,2014-02-28,2014-05-16,False
2014-05-06,11550.0,,11550.0,11481.0,3270.0,11481.0,11533.0,90.0,2014-05-06,PP1405.DCE,2014-02-28,2014-05-16,False
2014-05-07,11545.0,,11550.0,11450.0,2860.0,11550.0,11543.0,416.0,2014-05-07,PP1405.DCE,2014-02-28,2014-05-16,False
2014-05-08,11527.0,,,,2860.0,,11527.0,0.0,2014-05-08,PP1405.DCE,2014-02-28,2014-05-16,False
