date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2014-03-03,2014-03-03,PP1409.DCE,2014-09-15,20759.0,10331.0,,10403.0,10307.0,10263.0,10298.0,10400.0,2014-02-28,True,196 days 00:00:00.000000000
2014-03-04,2014-03-04,PP1501.DCE,2015-01-16,121.0,566.0,,10087.0,10058.0,10030.0,10086.0,10061.0,2014-02-28,True,318 days 00:00:00.000000000
2014-03-05,2014-03-05,PP1501.DCE,2015-01-16,99.0,629.0,,10093.0,10059.0,10040.0,10076.0,10093.0,2014-02-28,False,317 days 00:00:00.000000000
2014-03-06,2014-03-06,PP1501.DCE,2015-01-16,644.0,1156.0,,10050.0,9964.0,9888.0,9950.0,10030.0,2014-02-28,False,316 days 00:00:00.000000000
2014-03-07,2014-03-07,PP1501.DCE,2015-01-16,92.0,1185.0,,9970.0,9943.0,9919.0,9951.0,9968.0,2014-02-28,False,315 days 00:00:00.000000000
2014-03-10,2014-03-10,PP1501.DCE,2015-01-16,408.0,1434.0,,9906.0,9856.0,9801.0,9841.0,9900.0,2014-02-28,False,312 days 00:00:00.000000000
2014-03-11,2014-03-11,PP1501.DCE,2015-01-16,305.0,1343.0,,10089.0,9979.0,9888.0,9980.0,9888.0,2014-02-28,False,311 days 00:00:00.000000000
2014-03-12,2014-03-12,PP1501.DCE,2015-01-16,120.0,1415.0,,9972.0,9927.0,9890.0,9972.0,9890.0,2014-02-28,False,310 days 00:00:00.000000000
2014-03-13,2014-03-13,PP1501.DCE,2015-01-16,72.0,1400.0,,10000.0,9987.0,9960.0,10000.0,9972.0,2014-02-28,False,309 days 00:00:00.000000000
2014-03-14,2014-03-14,PP1501.DCE,2015-01-16,526.0,1617.0,,10000.0,9949.0,9901.0,9948.0,10000.0,2014-02-28,False,308 days 00:00:00.000000000
2014-03-17,2014-03-17,PP1501.DCE,2015-01-16,168.0,1689.0,,10050.0,9962.0,9926.0,9946.0,10000.0,2014-02-28,False,305 days 00:00:00.000000000
2014-03-18,2014-03-18,PP1501.DCE,2015-01-16,351.0,1675.0,,10030.0,9985.0,9920.0,10012.0,9920.0,2014-02-28,False,304 days 00:00:00.000000000
2014-03-19,2014-03-19,PP1501.DCE,2015-01-16,188.0,1736.0,,10045.0,10013.0,9960.0,9961.0,10030.0,2014-02-28,False,303 days 00:00:00.000000000
2014-03-20,2014-03-20,PP1501.DCE,2015-01-16,296.0,1797.0,,9981.0,9957.0,9936.0,9968.0,9974.0,2014-02-28,False,302 days 00:00:00.000000000
2014-03-21,2014-03-21,PP1501.DCE,2015-01-16,240.0,1913.0,,9985.0,9972.0,9951.0,9983.0,9977.0,2014-02-28,False,301 days 00:00:00.000000000
2014-03-24,2014-03-24,PP1501.DCE,2015-01-16,299.0,2050.0,,10001.0,9970.0,9951.0,10001.0,9977.0,2014-02-28,False,298 days 00:00:00.000000000
2014-03-25,2014-03-25,PP1501.DCE,2015-01-16,418.0,1965.0,,10090.0,10053.0,9988.0,10068.0,9991.0,2014-02-28,False,297 days 00:00:00.000000000
2014-03-26,2014-03-26,PP1501.DCE,2015-01-16,1009.0,2284.0,,10200.0,10120.0,10050.0,10172.0,10068.0,2014-02-28,False,296 days 00:00:00.000000000
2014-03-27,2014-03-27,PP1501.DCE,2015-01-16,121.0,2309.0,,10172.0,10148.0,10125.0,10153.0,10172.0,2014-02-28,False,295 days 00:00:00.000000000
2014-03-28,2014-03-28,PP1501.DCE,2015-01-16,409.0,2283.0,,10268.0,10210.0,10171.0,10264.0,10171.0,2014-02-28,False,294 days 00:00:00.000000000
2014-03-31,2014-03-31,PP1501.DCE,2015-01-16,246.0,2340.0,,10278.0,10255.0,10218.0,10244.0,10266.0,2014-02-28,False,291 days 00:00:00.000000000
2014-04-01,2014-04-01,PP1501.DCE,2015-01-16,710.0,2521.0,,10328.0,10270.0,10220.0,10316.0,10223.0,2014-02-28,False,290 days 00:00:00.000000000
2014-04-02,2014-04-02,PP1501.DCE,2015-01-16,448.0,2732.0,,10308.0,10286.0,10270.0,10281.0,10294.0,2014-02-28,False,289 days 00:00:00.000000000
2014-04-03,2014-04-03,PP1501.DCE,2015-01-16,225.0,2767.0,,10308.0,10270.0,10226.0,10290.0,10226.0,2014-02-28,False,288 days 00:00:00.000000000
2014-04-04,2014-04-04,PP1501.DCE,2015-01-16,618.0,2921.0,,10431.0,10388.0,10339.0,10421.0,10346.0,2014-02-28,False,287 days 00:00:00.000000000
2014-04-08,2014-04-08,PP1501.DCE,2015-01-16,302.0,2907.0,,10438.0,10375.0,10345.0,10353.0,10428.0,2014-02-28,False,283 days 00:00:00.000000000
2014-04-09,2014-04-09,PP1501.DCE,2015-01-16,209.0,2883.0,,10385.0,10331.0,10296.0,10356.0,10360.0,2014-02-28,False,282 days 00:00:00.000000000
2014-04-10,2014-04-10,PP1501.DCE,2015-01-16,211.0,2905.0,,10442.0,10362.0,10309.0,10309.0,10368.0,2014-02-28,False,281 days 00:00:00.000000000
2014-04-11,2014-04-11,PP1501.DCE,2015-01-16,219.0,2976.0,,10342.0,10315.0,10266.0,10336.0,10281.0,2014-02-28,False,280 days 00:00:00.000000000
2014-04-14,2014-04-14,PP1501.DCE,2015-01-16,142.0,3040.0,,10388.0,10357.0,10339.0,10369.0,10339.0,2014-02-28,False,277 days 00:00:00.000000000
2014-04-15,2014-04-15,PP1501.DCE,2015-01-16,372.0,3195.0,,10680.0,10392.0,10340.0,10398.0,10350.0,2014-02-28,False,276 days 00:00:00.000000000
2014-04-16,2014-04-16,PP1501.DCE,2015-01-16,250.0,3250.0,,10400.0,10375.0,10361.0,10381.0,10380.0,2014-02-28,False,275 days 00:00:00.000000000
2014-04-17,2014-04-17,PP1501.DCE,2015-01-16,668.0,3035.0,,10482.0,10457.0,10409.0,10460.0,10409.0,2014-02-28,False,274 days 00:00:00.000000000
2014-04-18,2014-04-18,PP1501.DCE,2015-01-16,687.0,3129.0,,10650.0,10476.0,10430.0,10487.0,10442.0,2014-02-28,False,273 days 00:00:00.000000000
2014-04-21,2014-04-21,PP1501.DCE,2015-01-16,858.0,3380.0,,10540.0,10492.0,10412.0,10510.0,10474.0,2014-02-28,False,270 days 00:00:00.000000000
2014-04-22,2014-04-22,PP1501.DCE,2015-01-16,985.0,3472.0,,10622.0,10580.0,10490.0,10570.0,10498.0,2014-02-28,False,269 days 00:00:00.000000000
2014-04-23,2014-04-23,PP1501.DCE,2015-01-16,905.0,3603.0,,10564.0,10512.0,10475.0,10539.0,10550.0,2014-02-28,False,268 days 00:00:00.000000000
2014-04-24,2014-04-24,PP1501.DCE,2015-01-16,992.0,3841.0,,10549.0,10469.0,10420.0,10484.0,10510.0,2014-02-28,False,267 days 00:00:00.000000000
2014-04-25,2014-04-25,PP1501.DCE,2015-01-16,649.0,3894.0,,10493.0,10361.0,10285.0,10301.0,10484.0,2014-02-28,False,266 days 00:00:00.000000000
2014-04-28,2014-04-28,PP1501.DCE,2015-01-16,1024.0,4184.0,,10315.0,10290.0,10269.0,10305.0,10315.0,2014-02-28,False,263 days 00:00:00.000000000
2014-04-29,2014-04-29,PP1501.DCE,2015-01-16,1152.0,4300.0,,10350.0,10314.0,10235.0,10348.0,10235.0,2014-02-28,False,262 days 00:00:00.000000000
2014-04-30,2014-04-30,PP1501.DCE,2015-01-16,664.0,4654.0,,10356.0,10317.0,10295.0,10323.0,10348.0,2014-02-28,False,261 days 00:00:00.000000000
2014-05-05,2014-05-05,PP1501.DCE,2015-01-16,1126.0,5026.0,,10411.0,10339.0,10270.0,10409.0,10318.0,2014-02-28,False,256 days 00:00:00.000000000
2014-05-06,2014-05-06,PP1501.DCE,2015-01-16,849.0,5184.0,,10451.0,10421.0,10368.0,10421.0,10393.0,2014-02-28,False,255 days 00:00:00.000000000
2014-05-07,2014-05-07,PP1501.DCE,2015-01-16,1869.0,5509.0,,10507.0,10478.0,10389.0,10484.0,10425.0,2014-02-28,False,254 days 00:00:00.000000000
2014-05-08,2014-05-08,PP1501.DCE,2015-01-16,1111.0,5916.0,,10495.0,10454.0,10424.0,10447.0,10495.0,2014-02-28,False,253 days 00:00:00.000000000
2014-05-09,2014-05-09,PP1501.DCE,2015-01-16,1468.0,6273.0,,10445.0,10358.0,10328.0,10345.0,10445.0,2014-02-28,False,252 days 00:00:00.000000000
2014-05-12,2014-05-12,PP1501.DCE,2015-01-16,883.0,6330.0,,10395.0,10334.0,10295.0,10315.0,10390.0,2014-02-28,False,249 days 00:00:00.000000000
2014-05-13,2014-05-13,PP1501.DCE,2015-01-16,616.0,6498.0,,10344.0,10323.0,10305.0,10335.0,10334.0,2014-02-28,False,248 days 00:00:00.000000000
2014-05-14,2014-05-14,PP1501.DCE,2015-01-16,1008.0,6726.0,,10377.0,10330.0,10300.0,10322.0,10373.0,2014-02-28,False,247 days 00:00:00.000000000
2014-05-15,2014-05-15,PP1501.DCE,2015-01-16,1809.0,7624.0,,10312.0,10278.0,10262.0,10268.0,10304.0,2014-02-28,False,246 days 00:00:00.000000000
2014-05-16,2014-05-16,PP1501.DCE,2015-01-16,1619.0,8217.0,,10260.0,10221.0,10200.0,10258.0,10250.0,2014-02-28,False,245 days 00:00:00.000000000
2014-05-19,2014-05-19,PP1501.DCE,2015-01-16,1662.0,8508.0,,10323.0,10268.0,10235.0,10260.0,10250.0,2014-02-28,False,242 days 00:00:00.000000000
2014-05-20,2014-05-20,PP1501.DCE,2015-01-16,1389.0,8598.0,,10275.0,10235.0,10202.0,10265.0,10250.0,2014-02-28,False,241 days 00:00:00.000000000
2014-05-21,2014-05-21,PP1501.DCE,2015-01-16,2414.0,8502.0,,10339.0,10294.0,10235.0,10318.0,10235.0,2014-02-28,False,240 days 00:00:00.000000000
2014-05-22,2014-05-22,PP1501.DCE,2015-01-16,4412.0,9696.0,,10466.0,10399.0,10317.0,10465.0,10338.0,2014-02-28,False,239 days 00:00:00.000000000
2014-05-23,2014-05-23,PP1501.DCE,2015-01-16,10130.0,15015.0,,10547.0,10476.0,10435.0,10546.0,10470.0,2014-02-28,False,238 days 00:00:00.000000000
2014-05-26,2014-05-26,PP1501.DCE,2015-01-16,7154.0,17638.0,,10568.0,10521.0,10477.0,10552.0,10550.0,2014-02-28,False,235 days 00:00:00.000000000
2014-05-27,2014-05-27,PP1501.DCE,2015-01-16,5824.0,17486.0,,10541.0,10432.0,10360.0,10365.0,10541.0,2014-02-28,False,234 days 00:00:00.000000000
2014-05-28,2014-05-28,PP1501.DCE,2015-01-16,2287.0,17711.0,,10396.0,10363.0,10300.0,10396.0,10370.0,2014-02-28,False,233 days 00:00:00.000000000
2014-05-29,2014-05-29,PP1501.DCE,2015-01-16,2964.0,18094.0,,10476.0,10432.0,10374.0,10446.0,10374.0,2014-02-28,False,232 days 00:00:00.000000000
2014-05-30,2014-05-30,PP1501.DCE,2015-01-16,2519.0,18427.0,,10487.0,10450.0,10392.0,10485.0,10425.0,2014-02-28,False,231 days 00:00:00.000000000
2014-06-03,2014-06-03,PP1501.DCE,2015-01-16,3312.0,19510.0,,10566.0,10533.0,10467.0,10566.0,10550.0,2014-02-28,False,227 days 00:00:00.000000000
2014-06-04,2014-06-04,PP1501.DCE,2015-01-16,4521.0,20172.0,,10643.0,10602.0,10520.0,10590.0,10588.0,2014-02-28,False,226 days 00:00:00.000000000
2014-06-05,2014-06-05,PP1501.DCE,2015-01-16,5000.0,21476.0,,10605.0,10569.0,10508.0,10574.0,10571.0,2014-02-28,False,225 days 00:00:00.000000000
2014-06-06,2014-06-06,PP1501.DCE,2015-01-16,4614.0,22559.0,,10604.0,10558.0,10535.0,10563.0,10599.0,2014-02-28,False,224 days 00:00:00.000000000
2014-06-09,2014-06-09,PP1501.DCE,2015-01-16,3756.0,23706.0,,10588.0,10548.0,10522.0,10553.0,10560.0,2014-02-28,False,221 days 00:00:00.000000000
2014-06-10,2014-06-10,PP1501.DCE,2015-01-16,7338.0,25181.0,,10702.0,10625.0,10564.0,10700.0,10590.0,2014-02-28,False,220 days 00:00:00.000000000
2014-06-11,2014-06-11,PP1501.DCE,2015-01-16,15748.0,23585.0,,10824.0,10767.0,10690.0,10782.0,10720.0,2014-02-28,False,219 days 00:00:00.000000000
2014-06-12,2014-06-12,PP1501.DCE,2015-01-16,6071.0,25071.0,,10791.0,10764.0,10716.0,10764.0,10770.0,2014-02-28,False,218 days 00:00:00.000000000
2014-06-13,2014-06-13,PP1501.DCE,2015-01-16,7299.0,24864.0,,10888.0,10844.0,10783.0,10810.0,10800.0,2014-02-28,False,217 days 00:00:00.000000000
2014-06-16,2014-06-16,PP1501.DCE,2015-01-16,8094.0,25782.0,,10875.0,10812.0,10738.0,10862.0,10810.0,2014-02-28,False,214 days 00:00:00.000000000
2014-06-17,2014-06-17,PP1501.DCE,2015-01-16,9740.0,25651.0,,10870.0,10765.0,10684.0,10716.0,10850.0,2014-02-28,False,213 days 00:00:00.000000000
2014-06-18,2014-06-18,PP1501.DCE,2015-01-16,13167.0,26021.0,,10742.0,10661.0,10589.0,10611.0,10730.0,2014-02-28,False,212 days 00:00:00.000000000
2014-06-19,2014-06-19,PP1501.DCE,2015-01-16,9273.0,27080.0,,10634.0,10592.0,10563.0,10591.0,10609.0,2014-02-28,False,211 days 00:00:00.000000000
2014-06-20,2014-06-20,PP1501.DCE,2015-01-16,8119.0,28793.0,,10639.0,10589.0,10552.0,10638.0,10565.0,2014-02-28,False,210 days 00:00:00.000000000
2014-06-23,2014-06-23,PP1501.DCE,2015-01-16,20288.0,31892.0,,10665.0,10496.0,10364.0,10369.0,10665.0,2014-02-28,False,207 days 00:00:00.000000000
2014-06-24,2014-06-24,PP1501.DCE,2015-01-16,18051.0,36482.0,,10390.0,10349.0,10289.0,10344.0,10360.0,2014-02-28,False,206 days 00:00:00.000000000
2014-06-25,2014-06-25,PP1501.DCE,2015-01-16,17942.0,36133.0,,10371.0,10317.0,10285.0,10315.0,10352.0,2014-02-28,False,205 days 00:00:00.000000000
2014-06-26,2014-06-26,PP1501.DCE,2015-01-16,21850.0,39891.0,,10397.0,10345.0,10300.0,10342.0,10320.0,2014-02-28,False,204 days 00:00:00.000000000
2014-06-27,2014-06-27,PP1501.DCE,2015-01-16,13626.0,39378.0,,10436.0,10396.0,10325.0,10395.0,10339.0,2014-02-28,False,203 days 00:00:00.000000000
2014-06-30,2014-06-30,PP1501.DCE,2015-01-16,15111.0,41618.0,,10472.0,10437.0,10375.0,10444.0,10388.0,2014-02-28,False,200 days 00:00:00.000000000
2014-07-01,2014-07-01,PP1501.DCE,2015-01-16,30260.0,45864.0,,10497.0,10437.0,10382.0,10487.0,10407.0,2014-02-28,False,199 days 00:00:00.000000000
2014-07-02,2014-07-02,PP1501.DCE,2015-01-16,23496.0,43567.0,,10559.0,10474.0,10324.0,10479.0,10485.0,2014-02-28,False,198 days 00:00:00.000000000
2014-07-03,2014-07-03,PP1501.DCE,2015-01-16,19408.0,42658.0,,10569.0,10516.0,10460.0,10496.0,10481.0,2014-02-28,False,197 days 00:00:00.000000000
2014-07-04,2014-07-04,PP1501.DCE,2015-01-16,13426.0,42992.0,,10558.0,10527.0,10471.0,10535.0,10493.0,2014-02-28,False,196 days 00:00:00.000000000
2014-07-07,2014-07-07,PP1501.DCE,2015-01-16,15638.0,42780.0,,10617.0,10569.0,10515.0,10588.0,10576.0,2014-02-28,False,193 days 00:00:00.000000000
2014-07-08,2014-07-08,PP1501.DCE,2015-01-16,14950.0,42792.0,,10606.0,10544.0,10491.0,10551.0,10594.0,2014-02-28,False,192 days 00:00:00.000000000
2014-07-09,2014-07-09,PP1501.DCE,2015-01-16,23060.0,42122.0,,10570.0,10456.0,10333.0,10379.0,10555.0,2014-02-28,False,191 days 00:00:00.000000000
2014-07-10,2014-07-10,PP1501.DCE,2015-01-16,21644.0,42278.0,,10413.0,10344.0,10300.0,10346.0,10379.0,2014-02-28,False,190 days 00:00:00.000000000
2014-07-11,2014-07-11,PP1501.DCE,2015-01-16,17300.0,42031.0,,10405.0,10361.0,10310.0,10362.0,10340.0,2014-02-28,False,189 days 00:00:00.000000000
2014-07-14,2014-07-14,PP1501.DCE,2015-01-16,16008.0,40777.0,,10395.0,10344.0,10291.0,10360.0,10307.0,2014-02-28,False,186 days 00:00:00.000000000
2014-07-15,2014-07-15,PP1501.DCE,2015-01-16,21066.0,39786.0,,10455.0,10422.0,10364.0,10421.0,10379.0,2014-02-28,False,185 days 00:00:00.000000000
2014-07-16,2014-07-16,PP1501.DCE,2015-01-16,23155.0,41488.0,,10460.0,10393.0,10347.0,10459.0,10440.0,2014-02-28,False,184 days 00:00:00.000000000
2014-07-17,2014-07-17,PP1501.DCE,2015-01-16,23229.0,41889.0,,10518.0,10458.0,10402.0,10404.0,10459.0,2014-02-28,False,183 days 00:00:00.000000000
2014-07-18,2014-07-18,PP1501.DCE,2015-01-16,47193.0,46084.0,,10418.0,10291.0,10223.0,10270.0,10401.0,2014-02-28,False,182 days 00:00:00.000000000
2014-07-21,2014-07-21,PP1501.DCE,2015-01-16,39888.0,47327.0,,10356.0,10308.0,10270.0,10319.0,10270.0,2014-02-28,False,179 days 00:00:00.000000000
2014-07-22,2014-07-22,PP1501.DCE,2015-01-16,34361.0,46984.0,,10410.0,10358.0,10313.0,10360.0,10348.0,2014-02-28,False,178 days 00:00:00.000000000
2014-07-23,2014-07-23,PP1501.DCE,2015-01-16,23127.0,47370.0,,10388.0,10356.0,10315.0,10378.0,10320.0,2014-02-28,False,177 days 00:00:00.000000000
2014-07-24,2014-07-24,PP1501.DCE,2015-01-16,24658.0,47414.0,,10434.0,10404.0,10367.0,10380.0,10380.0,2014-02-28,False,176 days 00:00:00.000000000
2014-07-25,2014-07-25,PP1501.DCE,2015-01-16,32886.0,46697.0,,10481.0,10417.0,10333.0,10481.0,10385.0,2014-02-28,False,175 days 00:00:00.000000000
2014-07-28,2014-07-28,PP1501.DCE,2015-01-16,53072.0,51585.0,,10631.0,10566.0,10470.0,10618.0,10494.0,2014-02-28,False,172 days 00:00:00.000000000
2014-07-29,2014-07-29,PP1501.DCE,2015-01-16,52256.0,52667.0,,10720.0,10659.0,10584.0,10702.0,10618.0,2014-02-28,False,171 days 00:00:00.000000000
2014-07-30,2014-07-30,PP1505.DCE,2015-05-15,1963.0,13175.0,,10250.0,10212.0,10190.0,10209.0,10205.0,2014-05-19,True,289 days 00:00:00.000000000
2014-07-31,2014-07-31,PP1505.DCE,2015-05-15,1251.0,13159.0,,10206.0,10187.0,10163.0,10198.0,10204.0,2014-05-19,False,288 days 00:00:00.000000000
2014-08-01,2014-08-01,PP1505.DCE,2015-05-15,2361.0,13283.0,,10250.0,10197.0,10150.0,10150.0,10181.0,2014-05-19,False,287 days 00:00:00.000000000
2014-08-04,2014-08-04,PP1505.DCE,2015-05-15,1634.0,13443.0,,10180.0,10151.0,10120.0,10154.0,10145.0,2014-05-19,False,284 days 00:00:00.000000000
2014-08-05,2014-08-05,PP1505.DCE,2015-05-15,3332.0,14136.0,,10180.0,10093.0,10025.0,10064.0,10170.0,2014-05-19,False,283 days 00:00:00.000000000
2014-08-06,2014-08-06,PP1505.DCE,2015-05-15,2465.0,14256.0,,10110.0,10075.0,10040.0,10098.0,10044.0,2014-05-19,False,282 days 00:00:00.000000000
2014-08-07,2014-08-07,PP1505.DCE,2015-05-15,2264.0,14446.0,,10096.0,10071.0,10043.0,10065.0,10096.0,2014-05-19,False,281 days 00:00:00.000000000
2014-08-08,2014-08-08,PP1505.DCE,2015-05-15,2171.0,15444.0,,10078.0,10012.0,9982.0,10025.0,10078.0,2014-05-19,False,280 days 00:00:00.000000000
2014-08-11,2014-08-11,PP1505.DCE,2015-05-15,2727.0,15192.0,,10115.0,10084.0,10031.0,10083.0,10040.0,2014-05-19,False,277 days 00:00:00.000000000
2014-08-12,2014-08-12,PP1505.DCE,2015-05-15,3597.0,16276.0,,10076.0,10025.0,10007.0,10008.0,10076.0,2014-05-19,False,276 days 00:00:00.000000000
2014-08-13,2014-08-13,PP1505.DCE,2015-05-15,5211.0,17223.0,,10000.0,9975.0,9938.0,9983.0,10000.0,2014-05-19,False,275 days 00:00:00.000000000
2014-08-14,2014-08-14,PP1505.DCE,2015-05-15,5700.0,17331.0,,10031.0,9990.0,9955.0,10009.0,9995.0,2014-05-19,False,274 days 00:00:00.000000000
2014-08-15,2014-08-15,PP1505.DCE,2015-05-15,4854.0,16829.0,,10085.0,10028.0,9970.0,10085.0,10000.0,2014-05-19,False,273 days 00:00:00.000000000
2014-08-18,2014-08-18,PP1505.DCE,2015-05-15,3274.0,16757.0,,10113.0,10086.0,10053.0,10105.0,10095.0,2014-05-19,False,270 days 00:00:00.000000000
2014-08-19,2014-08-19,PP1505.DCE,2015-05-15,2892.0,16864.0,,10139.0,10120.0,10086.0,10120.0,10100.0,2014-05-19,False,269 days 00:00:00.000000000
2014-08-20,2014-08-20,PP1505.DCE,2015-05-15,5367.0,17353.0,,10105.0,10057.0,10021.0,10040.0,10090.0,2014-05-19,False,268 days 00:00:00.000000000
2014-08-21,2014-08-21,PP1505.DCE,2015-05-15,4435.0,16297.0,,10130.0,10104.0,10055.0,10130.0,10055.0,2014-05-19,False,267 days 00:00:00.000000000
2014-08-22,2014-08-22,PP1505.DCE,2015-05-15,3605.0,17589.0,,10144.0,10113.0,10092.0,10113.0,10136.0,2014-05-19,False,266 days 00:00:00.000000000
2014-08-25,2014-08-25,PP1505.DCE,2015-05-15,3285.0,18000.0,,10127.0,10077.0,10030.0,10103.0,10030.0,2014-05-19,False,263 days 00:00:00.000000000
