date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2014-02-28,10657.0,,10720.0,10604.0,21256.0,10680.0,10670.0,97582.0,2014-02-28,PP1405.DCE,2014-02-28,2014-05-16,True
2014-03-03,10298.0,,10403.0,10263.0,20662.0,10400.0,10307.0,41518.0,2014-03-03,PP1409.DCE,2014-02-28,2014-09-15,True
2014-03-04,10306.0,,10330.0,10256.0,25034.0,10310.0,10292.0,39938.0,2014-03-04,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-05,10306.0,,10330.0,10256.0,25034.0,10310.0,10292.0,39938.0,2014-03-04,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-06,10166.0,,10290.0,10071.0,32288.0,10270.0,10154.0,71074.0,2014-03-06,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-07,10175.0,,10200.0,10129.0,37846.0,10200.0,10164.0,45330.0,2014-03-07,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-10,10077.0,,10150.0,10000.0,46536.0,10025.0,10067.0,79360.0,2014-03-10,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-11,10180.0,,10350.0,10050.0,39284.0,10096.0,10167.0,69412.0,2014-03-11,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-12,10191.0,,10193.0,10061.0,49316.0,10090.0,10138.0,46214.0,2014-03-12,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-13,10209.0,,10236.0,10165.0,49944.0,10200.0,10198.0,25802.0,2014-03-13,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-14,10171.0,,10210.0,10120.0,52024.0,10200.0,10163.0,45528.0,2014-03-14,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-17,10171.0,,10290.0,10140.0,52644.0,10165.0,10182.0,26120.0,2014-03-17,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-18,10284.0,,10290.0,10125.0,51812.0,10125.0,10237.0,56886.0,2014-03-18,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-19,10214.0,,10348.0,10214.0,48670.0,10300.0,10278.0,36210.0,2014-03-19,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-20,10240.0,,10260.0,10195.0,43802.0,10220.0,10230.0,25118.0,2014-03-20,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-21,10285.0,,10295.0,10202.0,44088.0,10206.0,10247.0,23768.0,2014-03-21,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-24,10310.0,,10324.0,10241.0,47484.0,10280.0,10290.0,24834.0,2014-03-24,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-25,10406.0,,10436.0,10290.0,45170.0,10315.0,10371.0,52928.0,2014-03-25,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-26,10527.0,,10560.0,10385.0,52690.0,10389.0,10499.0,118820.0,2014-03-26,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-27,10492.0,,10530.0,10474.0,51682.0,10530.0,10500.0,46228.0,2014-03-27,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-28,10620.0,,10625.0,10492.0,58422.0,10500.0,10556.0,75226.0,2014-03-28,PP1409.DCE,2014-02-28,2014-09-15,False
2014-03-31,10582.0,,10650.0,10563.0,58034.0,10618.0,10602.0,41398.0,2014-03-31,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-01,10705.0,,10724.0,10555.0,71734.0,10590.0,10667.0,100028.0,2014-04-01,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-02,10672.0,,10707.0,10650.0,76276.0,10681.0,10677.0,48420.0,2014-04-02,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-03,10685.0,,10705.0,10606.0,80506.0,10680.0,10664.0,70136.0,2014-04-03,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-04,10818.0,,10832.0,10685.0,87828.0,10685.0,10791.0,94598.0,2014-04-04,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-08,10756.0,,10838.0,10725.0,90666.0,10810.0,10761.0,71994.0,2014-04-08,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-09,10733.0,,10790.0,10660.0,92590.0,10790.0,10703.0,86312.0,2014-04-09,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-10,10682.0,,10805.0,10682.0,94496.0,10750.0,10749.0,75362.0,2014-04-10,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-11,10701.0,,10720.0,10619.0,95732.0,10670.0,10690.0,62548.0,2014-04-11,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-14,10758.0,,10774.0,10680.0,102244.0,10750.0,10739.0,73712.0,2014-04-14,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-15,10793.0,,10826.0,10728.0,108252.0,10766.0,10782.0,89442.0,2014-04-15,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-16,10772.0,,10806.0,10746.0,108992.0,10783.0,10773.0,54288.0,2014-04-16,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-17,10875.0,,10900.0,10760.0,113784.0,10770.0,10854.0,114016.0,2014-04-17,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-18,10874.0,,10887.0,10792.0,108110.0,10886.0,10846.0,80578.0,2014-04-18,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-21,10887.0,,10938.0,10834.0,109696.0,10875.0,10886.0,54852.0,2014-04-21,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-22,10975.0,,11040.0,10861.0,123188.0,10890.0,10969.0,145848.0,2014-04-22,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-23,10925.0,,10986.0,10867.0,123264.0,10985.0,10917.0,90662.0,2014-04-23,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-24,10893.0,,10949.0,10815.0,121124.0,10924.0,10879.0,125438.0,2014-04-24,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-25,10703.0,,10919.0,10685.0,122218.0,10900.0,10782.0,126660.0,2014-04-25,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-28,10706.0,,10728.0,10660.0,117050.0,10710.0,10696.0,67444.0,2014-04-28,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-29,10758.0,,10770.0,10656.0,118032.0,10700.0,10725.0,90210.0,2014-04-29,PP1409.DCE,2014-02-28,2014-09-15,False
2014-04-30,10747.0,,10775.0,10713.0,125832.0,10762.0,10743.0,79484.0,2014-04-30,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-05,10847.0,,10848.0,10675.0,125364.0,10750.0,10747.0,125622.0,2014-05-05,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-06,10850.0,,10890.0,10808.0,124310.0,10832.0,10846.0,133100.0,2014-05-06,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-07,10932.0,,10965.0,10823.0,112828.0,10850.0,10920.0,171048.0,2014-05-07,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-08,10872.0,,10955.0,10843.0,106412.0,10955.0,10887.0,91622.0,2014-05-08,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-09,10771.0,,10884.0,10750.0,108646.0,10884.0,10796.0,102862.0,2014-05-09,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-12,10751.0,,10830.0,10714.0,104282.0,10790.0,10768.0,125740.0,2014-05-12,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-13,10780.0,,10786.0,10725.0,100942.0,10773.0,10753.0,82388.0,2014-05-13,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-14,10752.0,,10815.0,10718.0,103418.0,10810.0,10761.0,91380.0,2014-05-14,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-15,10676.0,,10740.0,10667.0,109596.0,10740.0,10694.0,111384.0,2014-05-15,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-16,10691.0,,10692.0,10600.0,119902.0,10665.0,10640.0,113124.0,2014-05-16,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-19,10697.0,,10750.0,10640.0,127830.0,10688.0,10693.0,115126.0,2014-05-19,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-20,10695.0,,10705.0,10623.0,133746.0,10680.0,10661.0,95388.0,2014-05-20,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-21,10765.0,,10790.0,10655.0,136476.0,10681.0,10742.0,155160.0,2014-05-21,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-22,10922.0,,10926.0,10755.0,145146.0,10765.0,10832.0,161550.0,2014-05-22,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-23,11039.0,,11050.0,10883.0,136714.0,10914.0,10969.0,222240.0,2014-05-23,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-26,11056.0,,11081.0,10967.0,140360.0,11038.0,11025.0,163006.0,2014-05-26,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-27,10830.0,,11049.0,10825.0,119182.0,11041.0,10922.0,173612.0,2014-05-27,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-28,10872.0,,10874.0,10765.0,111856.0,10827.0,10833.0,92028.0,2014-05-28,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-29,10934.0,,10978.0,10840.0,111856.0,10840.0,10920.0,133552.0,2014-05-29,PP1409.DCE,2014-02-28,2014-09-15,False
2014-05-30,10985.0,,10994.0,10871.0,112712.0,10933.0,10943.0,124940.0,2014-05-30,PP1409.DCE,2014-02-28,2014-09-15,False
2014-06-03,11073.0,,11078.0,10970.0,120034.0,11000.0,11030.0,132976.0,2014-06-03,PP1409.DCE,2014-02-28,2014-09-15,False
2014-06-04,11065.0,,11146.0,11045.0,120866.0,11070.0,11103.0,174432.0,2014-06-04,PP1409.DCE,2014-02-28,2014-09-15,False
2014-06-05,11132.0,,11162.0,11034.0,126122.0,11060.0,11100.0,182358.0,2014-06-05,PP1409.DCE,2014-02-28,2014-09-15,False
2014-06-06,11119.0,,11168.0,11084.0,122604.0,11130.0,11120.0,145488.0,2014-06-06,PP1409.DCE,2014-02-28,2014-09-15,False
