date,CLOSE,DEALNUM,HIGH,LOW,OI,OPEN,SETTLE,VOLUME,date,specific_contract,contract_issue_date,last_trade_date,switch_contract
2014-02-28,10368.0,,10500.0,10348.0,16452.0,10490.0,10392.0,92458.0,2014-02-28,PP1409.DCE,2014-02-28,2014-09-15,True
2014-03-03,10075.0,,10129.0,10050.0,1084.0,10100.0,10071.0,488.0,2014-03-03,PP1501.DCE,2014-02-28,2015-01-16,True
2014-03-04,10086.0,,10087.0,10030.0,1132.0,10061.0,10058.0,242.0,2014-03-04,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-05,10086.0,,10087.0,10030.0,1132.0,10061.0,10058.0,242.0,2014-03-04,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-06,9950.0,,10050.0,9888.0,2312.0,10030.0,9964.0,1288.0,2014-03-06,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-07,9951.0,,9970.0,9919.0,2370.0,9968.0,9943.0,184.0,2014-03-07,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-10,9841.0,,9906.0,9801.0,2868.0,9900.0,9856.0,816.0,2014-03-10,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-11,9980.0,,10089.0,9888.0,2686.0,9888.0,9979.0,610.0,2014-03-11,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-12,9972.0,,9972.0,9890.0,2830.0,9890.0,9927.0,240.0,2014-03-12,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-13,10000.0,,10000.0,9960.0,2800.0,9972.0,9987.0,144.0,2014-03-13,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-14,9948.0,,10000.0,9901.0,3234.0,10000.0,9949.0,1052.0,2014-03-14,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-17,9946.0,,10050.0,9926.0,3378.0,10000.0,9962.0,336.0,2014-03-17,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-18,10012.0,,10030.0,9920.0,3350.0,9920.0,9985.0,702.0,2014-03-18,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-19,9961.0,,10045.0,9960.0,3472.0,10030.0,10013.0,376.0,2014-03-19,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-20,9968.0,,9981.0,9936.0,3594.0,9974.0,9957.0,592.0,2014-03-20,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-21,9983.0,,9985.0,9951.0,3826.0,9977.0,9972.0,480.0,2014-03-21,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-24,10001.0,,10001.0,9951.0,4100.0,9977.0,9970.0,598.0,2014-03-24,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-25,10068.0,,10090.0,9988.0,3930.0,9991.0,10053.0,836.0,2014-03-25,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-26,10172.0,,10200.0,10050.0,4568.0,10068.0,10120.0,2018.0,2014-03-26,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-27,10153.0,,10172.0,10125.0,4618.0,10172.0,10148.0,242.0,2014-03-27,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-28,10264.0,,10268.0,10171.0,4566.0,10171.0,10210.0,818.0,2014-03-28,PP1501.DCE,2014-02-28,2015-01-16,False
2014-03-31,10244.0,,10278.0,10218.0,4680.0,10266.0,10255.0,492.0,2014-03-31,PP1501.DCE,2014-02-28,2015-01-16,False
2014-04-01,10316.0,,10328.0,10220.0,5042.0,10223.0,10270.0,1420.0,2014-04-01,PP1501.DCE,2014-02-28,2015-01-16,False
2014-04-02,10281.0,,10308.0,10270.0,5464.0,10294.0,10286.0,896.0,2014-04-02,PP1501.DCE,2014-02-28,2015-01-16,False
2014-04-03,10290.0,,10308.0,10226.0,5534.0,10226.0,10270.0,450.0,2014-04-03,PP1501.DCE,2014-02-28,2015-01-16,False
