date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2009-03-30,2009-03-30,RB0909.SHF,2009-09-15,72584.0,24190.0,,3580.0,3548.0,3528.0,3544.0,3550.0,2009-03-27,True,169 days 00:00:00.000000000
2009-03-31,2009-03-31,RB0909.SHF,2009-09-15,35296.0,22357.0,,3566.0,3549.0,3531.0,3549.0,3538.0,2009-03-27,False,168 days 00:00:00.000000000
2009-04-01,2009-04-01,RB0909.SHF,2009-09-15,14050.0,21038.0,,3561.0,3549.0,3543.0,3547.0,3560.0,2009-03-27,False,167 days 00:00:00.000000000
2009-04-02,2009-04-02,RB0909.SHF,2009-09-15,117723.0,34444.0,,3548.0,3481.0,3456.0,3473.0,3545.0,2009-03-27,False,166 days 00:00:00.000000000
2009-04-03,2009-04-03,RB0909.SHF,2009-09-15,76188.0,37519.0,,3481.0,3456.0,3436.0,3448.0,3481.0,2009-03-27,False,165 days 00:00:00.000000000
2009-04-07,2009-04-07,RB0909.SHF,2009-09-15,121289.0,50241.0,,3518.0,3482.0,3410.0,3491.0,3410.0,2009-03-27,False,161 days 00:00:00.000000000
2009-04-08,2009-04-08,RB0909.SHF,2009-09-15,73644.0,45955.0,,3491.0,3469.0,3456.0,3463.0,3480.0,2009-03-27,False,160 days 00:00:00.000000000
2009-04-09,2009-04-09,RB0909.SHF,2009-09-15,43844.0,47416.0,,3486.0,3472.0,3460.0,3468.0,3476.0,2009-03-27,False,159 days 00:00:00.000000000
2009-04-10,2009-04-10,RB0909.SHF,2009-09-15,60489.0,50082.0,,3499.0,3485.0,3470.0,3484.0,3483.0,2009-03-27,False,158 days 00:00:00.000000000
2009-04-13,2009-04-13,RB0909.SHF,2009-09-15,54910.0,54715.0,,3493.0,3481.0,3464.0,3469.0,3485.0,2009-03-27,False,155 days 00:00:00.000000000
2009-04-14,2009-04-14,RB0909.SHF,2009-09-15,270323.0,75320.0,,3600.0,3558.0,3469.0,3560.0,3475.0,2009-03-27,False,154 days 00:00:00.000000000
2009-04-15,2009-04-15,RB0909.SHF,2009-09-15,127803.0,75748.0,,3590.0,3566.0,3550.0,3562.0,3570.0,2009-03-27,False,153 days 00:00:00.000000000
2009-04-16,2009-04-16,RB0909.SHF,2009-09-15,125232.0,84664.0,,3628.0,3597.0,3570.0,3596.0,3582.0,2009-03-27,False,152 days 00:00:00.000000000
2009-04-17,2009-04-17,RB0909.SHF,2009-09-15,169625.0,109946.0,,3648.0,3622.0,3581.0,3620.0,3594.0,2009-03-27,False,151 days 00:00:00.000000000
2009-04-20,2009-04-20,RB0909.SHF,2009-09-15,129598.0,118914.0,,3648.0,3632.0,3608.0,3623.0,3620.0,2009-03-27,False,148 days 00:00:00.000000000
2009-04-21,2009-04-21,RB0909.SHF,2009-09-15,166224.0,119777.0,,3590.0,3539.0,3486.0,3524.0,3580.0,2009-03-27,False,147 days 00:00:00.000000000
2009-04-22,2009-04-22,RB0909.SHF,2009-09-15,84262.0,116474.0,,3566.0,3536.0,3508.0,3526.0,3550.0,2009-03-27,False,146 days 00:00:00.000000000
2009-04-23,2009-04-23,RB0909.SHF,2009-09-15,65193.0,116493.0,,3531.0,3507.0,3488.0,3513.0,3529.0,2009-03-27,False,145 days 00:00:00.000000000
2009-04-24,2009-04-24,RB0909.SHF,2009-09-15,50722.0,123024.0,,3522.0,3506.0,3497.0,3501.0,3513.0,2009-03-27,False,144 days 00:00:00.000000000
2009-04-27,2009-04-27,RB0909.SHF,2009-09-15,51236.0,127254.0,,3520.0,3505.0,3492.0,3499.0,3510.0,2009-03-27,False,141 days 00:00:00.000000000
2009-04-28,2009-04-28,RB0909.SHF,2009-09-15,48274.0,131267.0,,3515.0,3507.0,3496.0,3507.0,3496.0,2009-03-27,False,140 days 00:00:00.000000000
2009-04-29,2009-04-29,RB0909.SHF,2009-09-15,51347.0,137527.0,,3520.0,3511.0,3503.0,3520.0,3507.0,2009-03-27,False,139 days 00:00:00.000000000
2009-04-30,2009-04-30,RB0909.SHF,2009-09-15,123456.0,148800.0,,3575.0,3543.0,3523.0,3553.0,3536.0,2009-03-27,False,138 days 00:00:00.000000000
2009-05-04,2009-05-04,RB0909.SHF,2009-09-15,287166.0,163051.0,,3660.0,3624.0,3571.0,3636.0,3573.0,2009-03-27,False,134 days 00:00:00.000000000
