date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2012-12-31,2012-12-31,RM1311.CZC,2013-11-14,12947.0,16392.0,,2214.0,2192.0,2170.0,2171.0,2208.0,2012-12-28,True,318 days 00:00:00.000000000
2013-01-04,2013-01-04,RM1311.CZC,2013-11-14,6578.0,15879.0,,2196.0,2182.0,2151.0,2187.0,2163.0,2012-12-28,False,314 days 00:00:00.000000000
2013-01-07,2013-01-07,RM1311.CZC,2013-11-14,44104.0,22094.0,,2268.0,2229.0,2180.0,2233.0,2185.0,2012-12-28,False,311 days 00:00:00.000000000
2013-01-08,2013-01-08,RM1311.CZC,2013-11-14,22968.0,21461.0,,2251.0,2233.0,2220.0,2238.0,2245.0,2012-12-28,False,310 days 00:00:00.000000000
2013-01-09,2013-01-09,RM1311.CZC,2013-11-14,18927.0,26485.0,,2249.0,2238.0,2226.0,2234.0,2242.0,2012-12-28,False,309 days 00:00:00.000000000
2013-01-10,2013-01-10,RM1311.CZC,2013-11-14,9977.0,26997.0,,2246.0,2238.0,2225.0,2230.0,2235.0,2012-12-28,False,308 days 00:00:00.000000000
2013-01-11,2013-01-11,RM1311.CZC,2013-11-14,18312.0,27244.0,,2255.0,2244.0,2232.0,2244.0,2234.0,2012-12-28,False,307 days 00:00:00.000000000
2013-01-14,2013-01-14,RM1311.CZC,2013-11-14,21183.0,30273.0,,2269.0,2259.0,2243.0,2267.0,2257.0,2012-12-28,False,304 days 00:00:00.000000000
2013-01-15,2013-01-15,RM1311.CZC,2013-11-14,29403.0,31823.0,,2300.0,2281.0,2251.0,2251.0,2277.0,2012-12-28,False,303 days 00:00:00.000000000
2013-01-16,2013-01-16,RM1311.CZC,2013-11-14,11915.0,31264.0,,2279.0,2265.0,2248.0,2276.0,2261.0,2012-12-28,False,302 days 00:00:00.000000000
2013-01-17,2013-01-17,RM1311.CZC,2013-11-14,21462.0,32805.0,,2308.0,2293.0,2275.0,2298.0,2288.0,2012-12-28,False,301 days 00:00:00.000000000
2013-01-18,2013-01-18,RM1311.CZC,2013-11-14,21834.0,32652.0,,2323.0,2307.0,2285.0,2307.0,2301.0,2012-12-28,False,300 days 00:00:00.000000000
