date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
1995-05-17,1995-05-17,RU9507.SHF,1995-07-17,30.0,50.0,,16230.0,16126.0,15950.0,15950.0,16230.0,1995-05-16,True,61 days 00:00:00.000000000
1995-05-18,1995-05-18,RU9507.SHF,1995-07-17,20.0,30.0,,15700.0,15680.0,15650.0,15700.0,15650.0,1995-05-16,False,60 days 00:00:00.000000000
1995-05-19,1995-05-19,RU9507.SHF,1995-07-17,,30.0,,,15680.0,,15700.0,,1995-05-16,False,59 days 00:00:00.000000000
1995-05-22,1995-05-22,RU9507.SHF,1995-07-17,10.0,20.0,,16140.0,16140.0,16140.0,16140.0,16140.0,1995-05-16,False,56 days 00:00:00.000000000
1995-05-23,1995-05-23,RU9507.SHF,1995-07-17,,20.0,,,16140.0,,16140.0,,1995-05-16,False,55 days 00:00:00.000000000
1995-05-24,1995-05-24,RU9507.SHF,1995-07-17,,20.0,,,16140.0,,16140.0,,1995-05-16,False,54 days 00:00:00.000000000
1995-05-25,1995-05-25,RU9507.SHF,1995-07-17,,20.0,,,16140.0,,16140.0,,1995-05-16,False,53 days 00:00:00.000000000
1995-05-26,1995-05-26,RU9507.SHF,1995-07-17,,20.0,,,16140.0,,16140.0,,1995-05-16,False,52 days 00:00:00.000000000
1995-05-29,1995-05-29,RU9507.SHF,1995-07-17,,20.0,,,16140.0,,16140.0,,1995-05-16,False,49 days 00:00:00.000000000
1995-05-30,1995-05-30,RU9507.SHF,1995-07-17,,20.0,,,16140.0,,16140.0,,1995-05-16,False,48 days 00:00:00.000000000
1995-05-31,1995-05-31,RU9507.SHF,1995-07-17,10.0,10.0,,15340.0,15340.0,15340.0,15340.0,15340.0,1995-05-16,False,47 days 00:00:00.000000000
1995-06-01,1995-06-01,RU9507.SHF,1995-07-17,,10.0,,,15340.0,,15340.0,,1995-05-16,False,46 days 00:00:00.000000000
