date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2018-03-27,2018-03-27,SC1812.INE,2018-11-30,180.0,166.0,71.0,422.0,417.4,407.0,415.4,421.0,2018-03-26,True,248 days 00:00:00.000000000
2018-03-28,2018-03-28,SC1812.INE,2018-11-30,1116.0,660.0,425.0,420.3,411.6,403.4,406.6,420.3,2018-03-26,False,247 days 00:00:00.000000000
2018-03-29,2018-03-29,SC1812.INE,2018-11-30,246.0,674.0,96.0,407.4,403.5,398.9,405.0,405.6,2018-03-26,False,246 days 00:00:00.000000000
2018-03-30,2018-03-30,SC1812.INE,2018-11-30,114.0,660.0,49.0,415.0,407.8,400.8,415.0,403.0,2018-03-26,False,245 days 00:00:00.000000000
2018-04-02,2018-04-02,SC1812.INE,2018-11-30,170.0,662.0,54.0,415.7,412.1,409.4,412.3,414.3,2018-03-26,False,242 days 00:00:00.000000000
2018-04-03,2018-04-03,SC1812.INE,2018-11-30,110.0,668.0,45.0,405.9,401.9,398.0,398.0,405.9,2018-03-26,False,241 days 00:00:00.000000000
2018-04-04,2018-04-04,SC1812.INE,2018-11-30,36.0,666.0,18.0,399.8,398.7,398.0,398.1,399.1,2018-03-26,False,240 days 00:00:00.000000000
2018-04-09,2018-04-09,SC1812.INE,2018-11-30,44.0,666.0,18.0,399.8,398.0,396.4,399.8,396.6,2018-03-26,False,235 days 00:00:00.000000000
2018-04-10,2018-04-10,SC1812.INE,2018-11-30,76.0,634.0,26.0,410.9,407.3,404.8,410.1,405.3,2018-03-26,False,234 days 00:00:00.000000000
2018-04-11,2018-04-11,SC1812.INE,2018-11-30,96.0,566.0,30.0,415.6,413.3,411.8,413.4,412.0,2018-03-26,False,233 days 00:00:00.000000000
2018-04-12,2018-04-12,SC1812.INE,2018-11-30,86.0,554.0,35.0,424.4,420.8,415.8,424.4,415.8,2018-03-26,False,232 days 00:00:00.000000000
2018-04-13,2018-04-13,SC1812.INE,2018-11-30,240.0,462.0,86.0,423.0,420.4,418.4,422.1,422.6,2018-03-26,False,231 days 00:00:00.000000000
2018-04-16,2018-04-16,SC1812.INE,2018-11-30,196.0,368.0,82.0,424.5,422.3,418.8,419.8,422.7,2018-03-26,False,228 days 00:00:00.000000000
2018-04-17,2018-04-17,SC1812.INE,2018-11-30,74.0,348.0,27.0,420.9,419.0,416.7,419.7,420.7,2018-03-26,False,227 days 00:00:00.000000000
2018-04-18,2018-04-18,SC1812.INE,2018-11-30,38.0,346.0,19.0,424.6,419.9,414.7,424.6,416.4,2018-03-26,False,226 days 00:00:00.000000000
2018-04-19,2018-04-19,SC1812.INE,2018-11-30,124.0,318.0,56.0,435.0,431.9,428.7,434.8,429.0,2018-03-26,False,225 days 00:00:00.000000000
2018-04-20,2018-04-20,SC1812.INE,2018-11-30,94.0,306.0,42.0,436.2,433.1,431.1,431.3,435.7,2018-03-26,False,224 days 00:00:00.000000000
2018-04-23,2018-04-23,SC1812.INE,2018-11-30,24.0,306.0,12.0,434.0,431.1,428.0,433.7,429.8,2018-03-26,False,221 days 00:00:00.000000000
2018-04-24,2018-04-24,SC1812.INE,2018-11-30,138.0,312.0,49.0,442.0,438.3,427.7,441.5,431.7,2018-03-26,False,220 days 00:00:00.000000000
2018-04-25,2018-04-25,SC1812.INE,2018-11-30,66.0,292.0,29.0,442.0,436.0,431.1,432.5,439.1,2018-03-26,False,219 days 00:00:00.000000000
2018-04-26,2018-04-26,SC1812.INE,2018-11-30,26.0,286.0,11.0,437.1,433.2,429.9,437.1,435.1,2018-03-26,False,218 days 00:00:00.000000000
2018-04-27,2018-04-27,SC1812.INE,2018-11-30,26.0,288.0,11.0,439.2,437.2,435.7,439.2,437.0,2018-03-26,False,217 days 00:00:00.000000000
2018-05-02,2018-05-02,SC1812.INE,2018-11-30,8.0,290.0,4.0,435.7,434.6,433.8,433.8,435.7,2018-03-26,False,212 days 00:00:00.000000000
2018-05-03,2018-05-03,SC1812.INE,2018-11-30,20.0,284.0,8.0,441.7,440.0,436.5,441.7,437.4,2018-03-26,False,211 days 00:00:00.000000000
2018-05-04,2018-05-04,SC1812.INE,2018-11-30,22.0,286.0,9.0,442.0,440.3,438.3,441.0,438.7,2018-03-26,False,210 days 00:00:00.000000000
2018-05-07,2018-05-07,SC1812.INE,2018-11-30,42.0,308.0,16.0,455.1,450.2,443.7,455.1,443.7,2018-03-26,False,207 days 00:00:00.000000000
2018-05-08,2018-05-08,SC1812.INE,2018-11-30,20.0,310.0,10.0,456.0,452.8,451.4,453.5,454.9,2018-03-26,False,206 days 00:00:00.000000000
2018-05-09,2018-05-09,SC1812.INE,2018-11-30,96.0,312.0,40.0,459.5,451.3,440.5,458.2,455.4,2018-03-26,False,205 days 00:00:00.000000000
2018-05-10,2018-05-10,SC1812.INE,2018-11-30,440.0,494.0,137.0,471.2,466.7,460.4,469.5,460.4,2018-03-26,False,204 days 00:00:00.000000000
2018-05-11,2018-05-11,SC1812.INE,2018-11-30,322.0,490.0,133.0,465.9,463.1,460.1,464.3,465.6,2018-03-26,False,203 days 00:00:00.000000000
2018-05-14,2018-05-14,SC1812.INE,2018-11-30,110.0,466.0,45.0,464.6,460.1,457.1,458.6,462.2,2018-03-26,False,200 days 00:00:00.000000000
2018-05-15,2018-05-15,SC1812.INE,2018-11-30,234.0,368.0,102.0,468.0,465.4,461.2,468.0,461.2,2018-03-26,False,199 days 00:00:00.000000000
2018-05-16,2018-05-16,SC1812.INE,2018-11-30,116.0,356.0,43.0,470.0,468.7,465.1,466.4,470.0,2018-03-26,False,198 days 00:00:00.000000000
2018-05-17,2018-05-17,SC1812.INE,2018-11-30,64.0,356.0,27.0,478.0,473.5,464.1,475.9,464.1,2018-03-26,False,197 days 00:00:00.000000000
2018-05-18,2018-05-18,SC1812.INE,2018-11-30,52.0,364.0,22.0,481.0,478.0,476.7,478.8,477.7,2018-03-26,False,196 days 00:00:00.000000000
2018-05-21,2018-05-21,SC1812.INE,2018-11-30,208.0,336.0,90.0,478.7,477.0,471.1,476.9,477.5,2018-03-26,False,193 days 00:00:00.000000000
2018-05-22,2018-05-22,SC1812.INE,2018-11-30,56.0,326.0,26.0,480.2,476.3,474.5,479.5,474.9,2018-03-26,False,192 days 00:00:00.000000000
2018-05-23,2018-05-23,SC1812.INE,2018-11-30,174.0,314.0,74.0,487.1,482.9,477.1,478.4,479.8,2018-03-26,False,191 days 00:00:00.000000000
2018-05-24,2018-05-24,SC1812.INE,2018-11-30,222.0,322.0,68.0,480.3,478.0,472.8,479.6,478.4,2018-03-26,False,190 days 00:00:00.000000000
2018-05-25,2018-05-25,SC1812.INE,2018-11-30,404.0,374.0,93.0,480.0,475.3,471.0,471.5,474.3,2018-03-26,False,189 days 00:00:00.000000000
2018-05-28,2018-05-28,SC1812.INE,2018-11-30,248.0,364.0,92.0,469.1,460.6,452.5,458.6,469.1,2018-03-26,False,186 days 00:00:00.000000000
2018-05-29,2018-05-29,SC1812.INE,2018-11-30,90.0,380.0,33.0,461.0,458.6,455.9,460.7,456.1,2018-03-26,False,185 days 00:00:00.000000000
2018-05-30,2018-05-30,SC1812.INE,2018-11-30,64.0,398.0,30.0,463.6,459.0,455.1,459.5,462.7,2018-03-26,False,184 days 00:00:00.000000000
2018-05-31,2018-05-31,SC1812.INE,2018-11-30,134.0,416.0,51.0,471.5,468.3,462.8,468.9,462.8,2018-03-26,False,183 days 00:00:00.000000000
2018-06-01,2018-06-01,SC1812.INE,2018-11-30,118.0,378.0,50.0,478.0,472.4,468.3,470.1,469.4,2018-03-26,False,182 days 00:00:00.000000000
2018-06-04,2018-06-04,SC1812.INE,2018-11-30,54.0,392.0,27.0,468.2,466.8,464.0,464.1,467.9,2018-03-26,False,179 days 00:00:00.000000000
2018-06-05,2018-06-05,SC1812.INE,2018-11-30,62.0,400.0,29.0,466.9,461.9,457.2,461.3,466.8,2018-03-26,False,178 days 00:00:00.000000000
2018-06-06,2018-06-06,SC1812.INE,2018-11-30,96.0,400.0,45.0,462.5,456.8,452.3,461.8,458.5,2018-03-26,False,177 days 00:00:00.000000000
2018-06-07,2018-06-07,SC1812.INE,2018-11-30,224.0,398.0,70.0,461.7,457.6,454.8,461.7,459.0,2018-03-26,False,176 days 00:00:00.000000000
2018-06-08,2018-06-08,SC1812.INE,2018-11-30,164.0,346.0,62.0,470.0,467.1,463.7,464.2,463.7,2018-03-26,False,175 days 00:00:00.000000000
2018-06-11,2018-06-11,SC1812.INE,2018-11-30,88.0,328.0,25.0,468.5,466.6,463.5,463.5,465.5,2018-03-26,False,172 days 00:00:00.000000000
2018-06-12,2018-06-12,SC1812.INE,2018-11-30,20.0,324.0,10.0,468.2,462.7,459.7,468.2,461.0,2018-03-26,False,171 days 00:00:00.000000000
2018-06-13,2018-06-13,SC1812.INE,2018-11-30,56.0,322.0,19.0,465.2,463.3,460.1,461.0,464.2,2018-03-26,False,170 days 00:00:00.000000000
2018-06-14,2018-06-14,SC1812.INE,2018-11-30,30.0,308.0,12.0,467.5,464.9,460.7,466.1,460.7,2018-03-26,False,169 days 00:00:00.000000000
2018-06-15,2018-06-15,SC1812.INE,2018-11-30,6.0,310.0,3.0,463.8,463.1,462.4,463.8,463.2,2018-03-26,False,168 days 00:00:00.000000000
2018-06-19,2018-06-19,SC1812.INE,2018-11-30,96.0,318.0,27.0,460.5,458.5,454.2,454.9,460.2,2018-03-26,False,164 days 00:00:00.000000000
2018-06-20,2018-06-20,SC1812.INE,2018-11-30,48.0,328.0,16.0,461.5,459.2,456.7,459.3,457.9,2018-03-26,False,163 days 00:00:00.000000000
2018-06-21,2018-06-21,SC1812.INE,2018-11-30,50.0,322.0,15.0,463.4,460.1,455.6,455.6,461.3,2018-03-26,False,162 days 00:00:00.000000000
2018-06-22,2018-06-22,SC1812.INE,2018-11-30,34.0,320.0,13.0,456.2,453.5,450.1,456.1,453.5,2018-03-26,False,161 days 00:00:00.000000000
2018-06-25,2018-06-25,SC1812.INE,2018-11-30,62.0,332.0,28.0,466.0,462.7,460.8,460.8,461.0,2018-03-26,False,158 days 00:00:00.000000000
2018-06-26,2018-06-26,SC1812.INE,2018-11-30,52.0,306.0,21.0,466.6,464.3,462.5,466.6,464.3,2018-03-26,False,157 days 00:00:00.000000000
2018-06-27,2018-06-27,SC1812.INE,2018-11-30,78.0,300.0,38.0,482.0,475.9,468.6,481.7,470.0,2018-03-26,False,156 days 00:00:00.000000000
2018-06-28,2018-06-28,SC1812.INE,2018-11-30,66.0,314.0,24.0,490.8,487.2,482.9,486.5,482.9,2018-03-26,False,155 days 00:00:00.000000000
2018-06-29,2018-06-29,SC1812.INE,2018-11-30,24.0,318.0,9.0,493.7,492.0,490.1,490.1,492.3,2018-03-26,False,154 days 00:00:00.000000000
2018-07-02,2018-07-02,SC1812.INE,2018-11-30,98.0,332.0,40.0,507.9,498.8,494.2,497.3,494.2,2018-03-26,False,151 days 00:00:00.000000000
2018-07-03,2018-07-03,SC1812.INE,2018-11-30,72.0,358.0,28.0,500.9,498.6,493.7,500.0,497.4,2018-03-26,False,150 days 00:00:00.000000000
2018-07-04,2018-07-04,SC1812.INE,2018-11-30,172.0,382.0,51.0,500.2,492.0,488.8,493.4,500.2,2018-03-26,False,149 days 00:00:00.000000000
2018-07-05,2018-07-05,SC1812.INE,2018-11-30,32.0,378.0,10.0,495.9,493.4,491.8,493.3,492.0,2018-03-26,False,148 days 00:00:00.000000000
2018-07-06,2018-07-06,SC1812.INE,2018-11-30,58.0,386.0,17.0,497.2,494.3,490.1,490.1,494.8,2018-03-26,False,147 days 00:00:00.000000000
2018-07-09,2018-07-09,SC1812.INE,2018-11-30,156.0,370.0,47.0,495.0,489.3,485.5,495.0,486.4,2018-03-26,False,144 days 00:00:00.000000000
2018-07-10,2018-07-10,SC1812.INE,2018-11-30,228.0,468.0,96.0,501.7,498.8,493.0,501.4,495.3,2018-03-26,False,143 days 00:00:00.000000000
2018-07-11,2018-07-11,SC1812.INE,2018-11-30,1292.0,1126.0,460.0,508.3,505.1,501.1,505.4,504.0,2018-03-26,False,142 days 00:00:00.000000000
2018-07-12,2018-07-12,SC1812.INE,2018-11-30,2112.0,872.0,758.0,504.5,490.4,479.8,486.6,502.3,2018-03-26,False,141 days 00:00:00.000000000
2018-07-13,2018-07-13,SC1812.INE,2018-11-30,764.0,838.0,301.0,487.7,485.9,480.5,487.0,485.4,2018-03-26,False,140 days 00:00:00.000000000
2018-07-16,2018-07-16,SC1812.INE,2018-11-30,330.0,780.0,141.0,494.9,490.3,488.0,488.0,490.2,2018-03-26,False,137 days 00:00:00.000000000
2018-07-17,2018-07-17,SC1812.INE,2018-11-30,444.0,938.0,160.0,483.2,478.3,472.7,473.2,481.0,2018-03-26,False,136 days 00:00:00.000000000
2018-07-18,2018-07-18,SC1812.INE,2018-11-30,264.0,882.0,105.0,478.5,475.5,473.4,476.3,476.5,2018-03-26,False,135 days 00:00:00.000000000
2018-07-19,2018-07-19,SC1812.INE,2018-11-30,490.0,972.0,211.0,484.0,479.7,475.1,483.0,476.6,2018-03-26,False,134 days 00:00:00.000000000
2018-07-20,2018-07-20,SC1812.INE,2018-11-30,656.0,928.0,279.0,490.0,484.9,479.6,488.1,480.2,2018-03-26,False,133 days 00:00:00.000000000
2018-07-23,2018-07-23,SC1812.INE,2018-11-30,438.0,1088.0,140.0,489.8,487.5,485.9,487.6,487.7,2018-03-26,False,130 days 00:00:00.000000000
2018-07-24,2018-07-24,SC1812.INE,2018-11-30,928.0,1628.0,280.0,496.9,493.7,491.3,492.8,493.4,2018-03-26,False,129 days 00:00:00.000000000
2018-07-25,2018-07-25,SC1812.INE,2018-11-30,998.0,1858.0,326.0,501.4,497.2,491.5,501.4,492.8,2018-03-26,False,128 days 00:00:00.000000000
2018-07-26,2018-07-26,SC1812.INE,2018-11-30,1910.0,1962.0,622.0,502.0,498.9,494.0,501.6,499.6,2018-03-26,False,127 days 00:00:00.000000000
2018-07-27,2018-07-27,SC1812.INE,2018-11-30,1494.0,2462.0,376.0,507.0,503.6,499.2,505.7,499.6,2018-03-26,False,126 days 00:00:00.000000000
