date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2006-01-09,2006-01-09,SR0605.CZC,2006-05-19,2843.0,2021.0,,4756.0,4724.0,4703.0,4720.0,4739.0,2006-01-06,True,130 days 00:00:00.000000000
2006-01-10,2006-01-10,SR0605.CZC,2006-05-19,3653.0,2286.0,,4750.0,4721.0,4650.0,4745.0,4687.0,2006-01-06,False,129 days 00:00:00.000000000
2006-01-11,2006-01-11,SR0605.CZC,2006-05-19,5210.0,2693.0,,4755.0,4714.0,4689.0,4710.0,4750.0,2006-01-06,False,128 days 00:00:00.000000000
2006-01-12,2006-01-12,SR0605.CZC,2006-05-19,3560.0,2906.0,,4705.0,4675.0,4664.0,4668.0,4700.0,2006-01-06,False,127 days 00:00:00.000000000
2006-01-13,2006-01-13,SR0605.CZC,2006-05-19,3052.0,2722.0,,4678.0,4648.0,4628.0,4632.0,4665.0,2006-01-06,False,126 days 00:00:00.000000000
2006-01-16,2006-01-16,SR0605.CZC,2006-05-19,12599.0,4214.0,,4834.0,4795.0,4694.0,4833.0,4707.0,2006-01-06,False,123 days 00:00:00.000000000
2006-01-17,2006-01-17,SR0605.CZC,2006-05-19,13983.0,5080.0,,4873.0,4846.0,4822.0,4847.0,4833.0,2006-01-06,False,122 days 00:00:00.000000000
2006-01-18,2006-01-18,SR0605.CZC,2006-05-19,25299.0,6478.0,,5018.0,4972.0,4861.0,4990.0,4884.0,2006-01-06,False,121 days 00:00:00.000000000
2006-01-19,2006-01-19,SR0605.CZC,2006-05-19,31902.0,7139.0,,5100.0,5023.0,4982.0,5025.0,5000.0,2006-01-06,False,120 days 00:00:00.000000000
2006-01-20,2006-01-20,SR0605.CZC,2006-05-19,26447.0,8486.0,,5204.0,5150.0,5110.0,5201.0,5112.0,2006-01-06,False,119 days 00:00:00.000000000
2006-01-23,2006-01-23,SR0605.CZC,2006-05-19,405.0,8201.0,,5356.0,5356.0,5356.0,5356.0,5356.0,2006-01-06,False,116 days 00:00:00.000000000
