date,VOLUME,OI,specific_contract,DEALNUM,HIGH,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2009-05-25,53882.0,6139.0,V0909.DCE,,6630.0,6495.0,6435.0,2009-05-25,6490.0,6575.0,2009-09-14,2009-05-25,True,112 days 00:00:00.000000000
2009-05-26,19145.0,5281.0,V0909.DCE,,6540.0,6480.0,6445.0,2009-05-26,6460.0,6485.0,2009-09-14,2009-05-25,False,111 days 00:00:00.000000000
2009-05-27,17001.0,5173.0,V0909.DCE,,6535.0,6495.0,6460.0,2009-05-27,6485.0,6500.0,2009-09-14,2009-05-25,False,110 days 00:00:00.000000000
2009-06-01,13089.0,5176.0,V0909.DCE,,6595.0,6555.0,6520.0,2009-06-01,6570.0,6555.0,2009-09-14,2009-05-25,False,105 days 00:00:00.000000000
2009-06-02,6748.0,4694.0,V0909.DCE,,6590.0,6560.0,6545.0,2009-06-02,6555.0,6590.0,2009-09-14,2009-05-25,False,104 days 00:00:00.000000000
2009-06-03,7340.0,4726.0,V0909.DCE,,6595.0,6565.0,6550.0,2009-06-03,6580.0,6565.0,2009-09-14,2009-05-25,False,103 days 00:00:00.000000000
2009-06-04,4266.0,4390.0,V0909.DCE,,6570.0,6550.0,6530.0,2009-06-04,6555.0,6545.0,2009-09-14,2009-05-25,False,102 days 00:00:00.000000000
2009-06-05,9932.0,5098.0,V0909.DCE,,6695.0,6640.0,6575.0,2009-06-05,6655.0,6590.0,2009-09-14,2009-05-25,False,101 days 00:00:00.000000000
2009-06-08,53674.0,17486.0,V0909.DCE,,6970.0,6920.0,6620.0,2009-06-08,6970.0,6650.0,2009-09-14,2009-05-25,False,98 days 00:00:00.000000000
2009-06-09,177433.0,23976.0,V0909.DCE,,7160.0,7030.0,6910.0,2009-06-09,7040.0,7020.0,2009-09-14,2009-05-25,False,97 days 00:00:00.000000000
2009-06-10,106076.0,19206.0,V0909.DCE,,7130.0,7025.0,6955.0,2009-06-10,6990.0,7120.0,2009-09-14,2009-05-25,False,96 days 00:00:00.000000000
2009-06-11,52459.0,19142.0,V0909.DCE,,7050.0,6980.0,6930.0,2009-06-11,6930.0,7025.0,2009-09-14,2009-05-25,False,95 days 00:00:00.000000000
2009-06-12,71327.0,19673.0,V0909.DCE,,6970.0,6890.0,6790.0,2009-06-12,6820.0,6955.0,2009-09-14,2009-05-25,False,94 days 00:00:00.000000000
2009-06-15,54975.0,20662.0,V0909.DCE,,6910.0,6840.0,6755.0,2009-06-15,6855.0,6800.0,2009-09-14,2009-05-25,False,91 days 00:00:00.000000000
2009-06-16,31603.0,19485.0,V0909.DCE,,6890.0,6850.0,6800.0,2009-06-16,6850.0,6805.0,2009-09-14,2009-05-25,False,90 days 00:00:00.000000000
2009-06-17,101671.0,24056.0,V0909.DCE,,6990.0,6935.0,6800.0,2009-06-17,6940.0,6830.0,2009-09-14,2009-05-25,False,89 days 00:00:00.000000000
2009-06-18,110258.0,25965.0,V0909.DCE,,7085.0,7005.0,6910.0,2009-06-18,6945.0,6965.0,2009-09-14,2009-05-25,False,88 days 00:00:00.000000000
2009-06-19,56215.0,24544.0,V0909.DCE,,7015.0,6940.0,6890.0,2009-06-19,6915.0,6970.0,2009-09-14,2009-05-25,False,87 days 00:00:00.000000000
2009-06-22,48718.0,24338.0,V0909.DCE,,6930.0,6865.0,6815.0,2009-06-22,6815.0,6850.0,2009-09-14,2009-05-25,False,84 days 00:00:00.000000000
2009-06-23,43952.0,22250.0,V0909.DCE,,6810.0,6750.0,6715.0,2009-06-23,6770.0,6755.0,2009-09-14,2009-05-25,False,83 days 00:00:00.000000000
2009-06-24,24420.0,21293.0,V0909.DCE,,6795.0,6755.0,6715.0,2009-06-24,6770.0,6795.0,2009-09-14,2009-05-25,False,82 days 00:00:00.000000000
2009-06-25,35475.0,22472.0,V0909.DCE,,6865.0,6820.0,6750.0,2009-06-25,6830.0,6770.0,2009-09-14,2009-05-25,False,81 days 00:00:00.000000000
2009-06-26,27506.0,20853.0,V0909.DCE,,6920.0,6860.0,6825.0,2009-06-26,6885.0,6880.0,2009-09-14,2009-05-25,False,80 days 00:00:00.000000000
2009-06-29,18948.0,20755.0,V0909.DCE,,6865.0,6815.0,6770.0,2009-06-29,6775.0,6865.0,2009-09-14,2009-05-25,False,77 days 00:00:00.000000000
2009-06-30,34925.0,22904.0,V0909.DCE,,6915.0,6860.0,6800.0,2009-06-30,6885.0,6820.0,2009-09-14,2009-05-25,False,76 days 00:00:00.000000000
2009-07-01,23045.0,22066.0,V0909.DCE,,6905.0,6845.0,6820.0,2009-07-01,6855.0,6855.0,2009-09-14,2009-05-25,False,75 days 00:00:00.000000000
2009-07-02,22940.0,20812.0,V0909.DCE,,6895.0,6850.0,6815.0,2009-07-02,6830.0,6830.0,2009-09-14,2009-05-25,False,74 days 00:00:00.000000000
2009-07-03,29958.0,20196.0,V0909.DCE,,6880.0,6835.0,6770.0,2009-07-03,6855.0,6800.0,2009-09-14,2009-05-25,False,73 days 00:00:00.000000000
2009-07-06,43933.0,20251.0,V0909.DCE,,6955.0,6900.0,6840.0,2009-07-06,6870.0,6850.0,2009-09-14,2009-05-25,False,70 days 00:00:00.000000000
2009-07-07,19973.0,20823.0,V0909.DCE,,6930.0,6905.0,6880.0,2009-07-07,6925.0,6890.0,2009-09-14,2009-05-25,False,69 days 00:00:00.000000000
2009-07-08,13964.0,17859.0,V0909.DCE,,6905.0,6875.0,6845.0,2009-07-08,6870.0,6890.0,2009-09-14,2009-05-25,False,68 days 00:00:00.000000000
2009-07-09,13606.0,18230.0,V0909.DCE,,6870.0,6840.0,6815.0,2009-07-09,6865.0,6840.0,2009-09-14,2009-05-25,False,67 days 00:00:00.000000000
2009-07-10,43494.0,19211.0,V0909.DCE,,6985.0,6925.0,6865.0,2009-07-10,6880.0,6880.0,2009-09-14,2009-05-25,False,66 days 00:00:00.000000000
2009-07-13,20243.0,18454.0,V0909.DCE,,6910.0,6875.0,6840.0,2009-07-13,6845.0,6905.0,2009-09-14,2009-05-25,False,63 days 00:00:00.000000000
2009-07-14,11451.0,19231.0,V0909.DCE,,6880.0,6855.0,6840.0,2009-07-14,6860.0,6870.0,2009-09-14,2009-05-25,False,62 days 00:00:00.000000000
2009-07-15,29360.0,23212.0,V0909.DCE,,6950.0,6910.0,6850.0,2009-07-15,6930.0,6870.0,2009-09-14,2009-05-25,False,61 days 00:00:00.000000000
2009-07-16,27790.0,23580.0,V0909.DCE,,7000.0,6945.0,6890.0,2009-07-16,6930.0,6955.0,2009-09-14,2009-05-25,False,60 days 00:00:00.000000000
2009-07-17,52675.0,30493.0,V0909.DCE,,7030.0,6980.0,6930.0,2009-07-17,7000.0,6945.0,2009-09-14,2009-05-25,False,59 days 00:00:00.000000000
2009-07-20,36948.0,31182.0,V0909.DCE,,7075.0,7020.0,6990.0,2009-07-20,7005.0,7030.0,2009-09-14,2009-05-25,False,56 days 00:00:00.000000000
2009-07-21,27824.0,27839.0,V0909.DCE,,7010.0,6930.0,6860.0,2009-07-21,6905.0,7010.0,2009-09-14,2009-05-25,False,55 days 00:00:00.000000000
