date,VOLUME,OI,specific_contract,DEALNUM,HIGH,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2015-05-18,64.0,38.0,ZC1605.CZC,,440.2,438.4,437.6,2015-05-18,437.6,440.0,2016-05-09,2015-05-18,True,357 days 00:00:00.000000000
2015-05-19,6.0,42.0,ZC1605.CZC,,437.6,436.8,436.0,2015-05-19,437.0,436.0,2016-05-09,2015-05-18,False,356 days 00:00:00.000000000
2015-05-20,8.0,42.0,ZC1605.CZC,,437.0,436.0,434.8,2015-05-20,435.8,436.8,2016-05-09,2015-05-18,False,355 days 00:00:00.000000000
2015-05-21,37.0,61.0,ZC1605.CZC,,446.8,441.0,437.8,2015-05-21,443.2,438.0,2016-05-09,2015-05-18,False,354 days 00:00:00.000000000
2015-05-22,34.0,77.0,ZC1605.CZC,,443.8,442.0,439.2,2015-05-22,441.4,439.2,2016-05-09,2015-05-18,False,353 days 00:00:00.000000000
2015-05-25,6.0,77.0,ZC1605.CZC,,441.8,440.4,439.2,2015-05-25,440.2,439.2,2016-05-09,2015-05-18,False,350 days 00:00:00.000000000
2015-05-26,168.0,169.0,ZC1605.CZC,,447.8,442.8,439.2,2015-05-26,441.4,441.0,2016-05-09,2015-05-18,False,349 days 00:00:00.000000000
2015-05-27,88.0,228.0,ZC1605.CZC,,444.2,440.4,438.8,2015-05-27,440.8,440.0,2016-05-09,2015-05-18,False,348 days 00:00:00.000000000
2015-05-28,43.0,262.0,ZC1605.CZC,,441.0,439.8,439.6,2015-05-28,439.8,440.8,2016-05-09,2015-05-18,False,347 days 00:00:00.000000000
2015-05-29,13.0,272.0,ZC1605.CZC,,442.6,441.8,439.8,2015-05-29,442.6,441.4,2016-05-09,2015-05-18,False,346 days 00:00:00.000000000
2015-06-01,17.0,276.0,ZC1605.CZC,,443.0,440.6,440.2,2015-06-01,440.8,443.0,2016-05-09,2015-05-18,False,343 days 00:00:00.000000000
2015-06-02,12.0,283.0,ZC1605.CZC,,442.6,440.6,440.2,2015-06-02,440.2,440.6,2016-05-09,2015-05-18,False,342 days 00:00:00.000000000
2015-06-03,8.0,286.0,ZC1605.CZC,,442.2,441.2,440.0,2015-06-03,440.0,442.2,2016-05-09,2015-05-18,False,341 days 00:00:00.000000000
2015-06-04,10.0,294.0,ZC1605.CZC,,441.0,440.0,438.6,2015-06-04,440.0,440.8,2016-05-09,2015-05-18,False,340 days 00:00:00.000000000
2015-06-05,14.0,296.0,ZC1605.CZC,,440.8,438.6,438.0,2015-06-05,438.4,440.8,2016-05-09,2015-05-18,False,339 days 00:00:00.000000000
2015-06-08,111.0,306.0,ZC1605.CZC,,438.4,438.0,437.4,2015-06-08,438.0,438.0,2016-05-09,2015-05-18,False,336 days 00:00:00.000000000
2015-06-09,1.0,307.0,ZC1605.CZC,,438.0,438.0,438.0,2015-06-09,438.0,438.0,2016-05-09,2015-05-18,False,335 days 00:00:00.000000000
2015-06-10,16.0,310.0,ZC1605.CZC,,439.0,438.4,437.0,2015-06-10,439.0,439.0,2016-05-09,2015-05-18,False,334 days 00:00:00.000000000
2015-06-11,4.0,313.0,ZC1605.CZC,,440.0,438.4,437.2,2015-06-11,437.4,440.0,2016-05-09,2015-05-18,False,333 days 00:00:00.000000000
2015-06-12,82.0,347.0,ZC1605.CZC,,437.0,432.4,428.0,2015-06-12,428.0,437.0,2016-05-09,2015-05-18,False,332 days 00:00:00.000000000
2015-06-15,27.0,346.0,ZC1605.CZC,,430.6,429.8,428.8,2015-06-15,428.8,430.0,2016-05-09,2015-05-18,False,329 days 00:00:00.000000000
2015-06-16,89.0,358.0,ZC1605.CZC,,428.0,426.8,425.0,2015-06-16,426.8,425.0,2016-05-09,2015-05-18,False,328 days 00:00:00.000000000
