date,date,specific_contract,last_trade_date,VOLUME,OI,DEALNUM,HIGH,SETTLE,LOW,CLOSE,OPEN,contract_issue_date,switch_contract,remain_days
2015-05-19,,,,,,,,,,,,,,
2015-05-20,,,,,,,,,,,,,,
2015-05-21,,,,,,,,,,,,,,
2015-05-22,,,,,,,,,,,,,,
2015-05-25,,,,,,,,,,,,,,
2015-05-26,,,,,,,,,,,,,,
2015-05-27,,,,,,,,,,,,,,
2015-05-28,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,,,,,
2015-06-02,,,,,,,,,,,,,,
2015-06-03,,,,,,,,,,,,,,
2015-06-04,,,,,,,,,,,,,,
2015-06-05,,,,,,,,,,,,,,
2015-06-08,,,,,,,,,,,,,,
2015-06-09,2015-06-09,ZC1606.CZC,2016-06-07,0.0,1.0,,,466.0,,,,2015-06-08,True,364 days 00:00:00.000000000
2015-06-10,2015-06-10,ZC1606.CZC,2016-06-07,0.0,1.0,,,447.2,,,,2015-06-08,False,363 days 00:00:00.000000000
2015-06-11,2015-06-11,ZC1606.CZC,2016-06-07,0.0,1.0,,,447.2,,,,2015-06-08,False,362 days 00:00:00.000000000
2015-06-12,2015-06-12,ZC1606.CZC,2016-06-07,1.0,2.0,,443.0,443.0,443.0,443.0,443.0,2015-06-08,False,361 days 00:00:00.000000000
2015-06-15,2015-06-15,ZC1606.CZC,2016-06-07,2.0,0.0,,427.4,427.4,427.4,427.4,427.4,2015-06-08,False,358 days 00:00:00.000000000
2015-06-16,2015-06-16,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.4,,,,2015-06-08,False,357 days 00:00:00.000000000
2015-06-17,2015-06-17,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.4,,,,2015-06-08,False,356 days 00:00:00.000000000
2015-06-18,2015-06-18,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.4,,,,2015-06-08,False,355 days 00:00:00.000000000
2015-06-19,2015-06-19,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.4,,,,2015-06-08,False,354 days 00:00:00.000000000
2015-06-23,2015-06-23,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.4,,,,2015-06-08,False,350 days 00:00:00.000000000
2015-06-24,2015-06-24,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.4,,,,2015-06-08,False,349 days 00:00:00.000000000
2015-06-25,2015-06-25,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.4,,,,2015-06-08,False,348 days 00:00:00.000000000
2015-06-26,2015-06-26,ZC1606.CZC,2016-06-07,0.0,0.0,,,423.8,,,,2015-06-08,False,347 days 00:00:00.000000000
2015-06-29,2015-06-29,ZC1606.CZC,2016-06-07,0.0,0.0,,,423.8,,,,2015-06-08,False,344 days 00:00:00.000000000
2015-06-30,2015-06-30,ZC1606.CZC,2016-06-07,0.0,0.0,,,423.8,,,,2015-06-08,False,343 days 00:00:00.000000000
2015-07-01,2015-07-01,ZC1606.CZC,2016-06-07,0.0,0.0,,,423.4,,,,2015-06-08,False,342 days 00:00:00.000000000
2015-07-02,2015-07-02,ZC1606.CZC,2016-06-07,0.0,0.0,,,423.4,,,,2015-06-08,False,341 days 00:00:00.000000000
2015-07-03,2015-07-03,ZC1606.CZC,2016-06-07,0.0,0.0,,,424.8,,,,2015-06-08,False,340 days 00:00:00.000000000
2015-07-06,2015-07-06,ZC1606.CZC,2016-06-07,1.0,1.0,,407.8,407.8,407.8,407.8,407.8,2015-06-08,False,337 days 00:00:00.000000000
2015-07-07,2015-07-07,ZC1606.CZC,2016-06-07,0.0,1.0,,,407.8,,,,2015-06-08,False,336 days 00:00:00.000000000
2015-07-08,2015-07-08,ZC1606.CZC,2016-06-07,0.0,1.0,,,396.2,,,,2015-06-08,False,335 days 00:00:00.000000000
2015-07-09,2015-07-09,ZC1606.CZC,2016-06-07,0.0,1.0,,,396.2,,,,2015-06-08,False,334 days 00:00:00.000000000
2015-07-10,2015-07-10,ZC1606.CZC,2016-06-07,0.0,1.0,,,396.2,,,,2015-06-08,False,333 days 00:00:00.000000000
2015-07-13,2015-07-13,ZC1606.CZC,2016-06-07,0.0,1.0,,,394.2,,,,2015-06-08,False,330 days 00:00:00.000000000
2015-07-14,2015-07-14,ZC1606.CZC,2016-06-07,0.0,1.0,,,394.2,,,,2015-06-08,False,329 days 00:00:00.000000000
