date,time,datetime,symbol,exchange,lastPrice,lastVolume,volume,openInterest,openPrice,highPrice,lowPrice,preClosePrice,preSettlementPrice,upperLimit,lowerLimit,turnover,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5
20191122,17:14:58.0,2019-11-22 17:14:58,AH3M,LME,1744.0,0,1993,0.0,1744.0,1745.0,1736.5,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1743.5,1743.0,1742.5,1742.0,1741.5,1744.0,1744.5,1745.0,1745.5,1746.0,3,13,1,4,4,4,5,17,9,33
20191122,17:28:13.0,2019-11-22 17:28:13,CL2001,NYMEX,58.41,0,66084,0.0,58.31,58.51,58.09,58.58,58.58,1.7976931348623157e+308,1.7976931348623157e+308,0.0,58.4,58.39,58.38,58.37,58.36,58.41,58.42,58.43,58.44,58.45,18,34,43,35,32,12,36,34,40,39
20191122,17:28:13.0,2019-11-22 17:28:13,GC1912,COMEX,1470.3,0,74444,0.0,1464.3,1470.8,1463.6,1463.6,1463.6,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1470.3,1470.2,1470.1,1470.0,1469.9,1470.4,1470.5,1470.6,1470.7,1470.8,19,38,35,45,42,10,35,36,41,59
20191122,17:28:13.0,2019-11-22 17:28:13,SI1912,COMEX,17.145,0,15996,0.0,17.075,17.18,17.03,17.065,17.065,1.7976931348623157e+308,1.7976931348623157e+308,0.0,17.145,17.14,17.135,17.13,17.125,17.15,17.155,17.16,17.165,17.17,39,34,39,39,33,21,58,39,41,41
20191122,17:28:13.0,2019-11-22 17:28:13,UC1912,SGX,7.0472,0,11241,0.0,7.0349,7.0485,7.0301,7.0418,7.0418,1.7976931348623157e+308,1.7976931348623157e+308,0.0,7.0472,7.0471,7.047,7.0469,7.0468,7.0475,7.0476,7.0477,7.0478,7.0479,4,20,17,31,18,6,11,14,15,14
20191122,17:14:58.0,2019-11-22 17:14:58,AH3M,LME,1744.0,0,1993,0.0,1744.0,1745.0,1736.5,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1743.5,1743.0,1742.5,1742.0,1741.5,1744.0,1744.5,1745.0,1745.5,1746.0,3,13,1,4,4,4,5,17,9,33
20191122,17:28:13.0,2019-11-22 17:28:13,CL2001,NYMEX,58.4,0,66086,0.0,58.31,58.51,58.09,58.58,58.58,1.7976931348623157e+308,1.7976931348623157e+308,0.0,58.4,58.39,58.38,58.37,58.36,58.41,58.42,58.43,58.44,58.45,16,32,41,33,30,19,36,33,38,39
20191122,17:28:14.0,2019-11-22 17:28:14,UC1912,SGX,7.0472,0,11241,0.0,7.0349,7.0485,7.0301,7.0418,7.0418,1.7976931348623157e+308,1.7976931348623157e+308,0.0,7.0472,7.0471,7.047,7.0469,7.0468,7.0475,7.0476,7.0477,7.0478,7.0479,4,20,17,31,18,6,11,14,15,14
20191122,17:28:14.0,2019-11-22 17:28:14,CL2001,NYMEX,58.4,0,66086,0.0,58.31,58.51,58.09,58.58,58.58,1.7976931348623157e+308,1.7976931348623157e+308,0.0,58.4,58.39,58.38,58.37,58.36,58.41,58.42,58.43,58.44,58.45,10,32,41,33,30,19,36,33,38,39
20191122,17:28:14.0,2019-11-22 17:28:14,GC1912,COMEX,1470.3,0,74444,0.0,1464.3,1470.8,1463.6,1463.6,1463.6,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1470.3,1470.2,1470.1,1470.0,1469.9,1470.4,1470.5,1470.6,1470.7,1470.8,24,38,33,44,40,4,32,34,39,59
