,每日PnL,净值,资金占用比例,杠杆倍数
2013-01-04,0.0,1.0,0.0,0.0
2013-01-07,0.0,1.0,0.0,0.0
2013-01-08,-4740.0,0.99526,0.07058306372204248,1.00355
2013-01-09,-3685.0,0.991575,0.07055769861079596,0.999475
2013-01-10,-1235.0,0.99034,0.07076973564634369,1.00123
2013-01-11,-45.0,0.990295,0.06966706890371051,0.985585
2013-01-14,-1095.0,0.9892,0.07046138293570563,0.99572
2013-01-15,-1780.0,0.98742,0.0700588402098398,0.98825
2013-01-16,1410.0,0.98883,0.06358423591517248,0.8982
2013-01-17,2980.0,0.99181,0.06370514513868585,0.90262
2013-01-18,3680.0,0.99549,0.06449627821474851,0.91722
2013-01-21,265.0,0.995755,0.06989209193024389,0.99422
2013-01-22,-2290.0,0.993465,0.07010251996799081,0.99492
2013-01-23,-3280.0,0.990185,0.07068749779081689,0.99991
2013-01-24,995.0,0.99118,0.07043468391210478,0.997335
2013-01-25,-895.0,0.990285,0.07093200442296914,1.00347
2013-01-28,5925.0,0.99621,0.07095737846438001,1.009835
2013-01-29,2155.0,0.998365,0.06498995858228203,0.92691
2013-01-30,-3065.0,0.9953,0.06552662513814932,0.931695
2013-01-31,670.0,0.99597,0.06559007801439802,0.933225
2013-02-01,1440.0,0.99741,0.0719457895950512,1.025135
2013-02-04,5530.0,1.00294,0.07252552495662752,1.039125
2013-02-05,2295.0,1.005235,0.06537725009574875,0.93885
2013-02-06,3395.0,1.00863,0.06491602470678048,0.935375
2013-02-07,15670.0,1.0243,0.064973298838231,0.950745
2013-02-08,1615.0,1.025915,0.06474649459263195,0.94892
2013-02-18,-4880.0,1.021035,0.0643868231745239,0.93916
2013-02-19,-3120.0,1.017915,0.06920813623927341,1.0064
2013-02-20,2780.0,1.020695,0.06407359691190807,0.93428
2013-02-21,-620.0,1.020075,0.06787716589466461,0.98914
2013-02-22,-2900.0,1.017175,0.06516794061985401,0.94696
2013-02-25,2200.0,1.019375,0.06484875536480686,0.94436
2013-02-26,-4080.0,1.015295,0.06419375649441789,0.93108
2013-02-27,1940.0,1.017235,0.06438925125462651,0.9357
2013-02-28,-680.0,1.016555,0.06511265991510544,0.94558
2013-03-01,-5820.0,1.010735,0.06467174877688019,0.9338
2013-03-04,-3620.0,1.007115,0.06355441037021592,0.91438
2013-03-05,1960.0,1.009075,0.06398870252458937,0.92242
2013-03-06,1020.0,1.010095,0.063950420505002,0.9228
2013-03-07,-7175.0,1.00292,0.0653951960275994,0.936945
2013-03-08,-1685.0,1.001235,0.06535388794838375,0.93478
2013-03-11,250.0,1.001485,0.06513137990084725,0.93183
2013-03-12,-1665.0,0.99982,0.06465278750175031,0.923445
2013-03-13,2765.0,1.002585,0.06408942882648355,0.91793
2013-03-14,-2245.0,1.00034,0.06350515824619629,0.907525
2013-03-15,-4000.0,0.99634,0.06392310857739326,0.909845
2013-03-18,1670.0,0.99801,0.06303268504323604,0.898675
2013-03-19,25.0,0.998035,0.06313806630028006,0.9002
2013-03-20,-1460.0,0.996575,0.06334716403682614,0.90186
2013-03-21,-8080.0,0.988495,0.06470624535278378,0.91374
2013-03-22,-1505.0,0.98699,0.0659832926372101,0.930355
2013-03-25,1790.0,0.98878,0.06782980036003965,0.958125
2013-03-26,1580.0,0.99036,0.06738938365846762,0.953425
2013-03-27,410.0,0.99077,0.06711774680299161,0.949975
2013-03-28,-3390.0,0.98738,0.06670020660738521,0.940835
2013-03-29,-3385.0,0.983995,0.06660775715323758,0.93631
2013-04-01,-1740.0,0.982255,0.06562613577940556,0.92088
2013-04-02,3080.0,0.985335,0.06647668051982321,0.93574
2013-04-03,-4910.0,0.980425,0.06686171813244256,0.93647
2013-04-08,-1870.0,0.978555,0.06736718937617202,0.94175
2013-04-09,-1325.0,0.97723,0.06749040655730995,0.942195
2013-04-10,-5185.0,0.972045,0.06790549820224373,0.94296
2013-04-11,-460.0,0.971585,0.067508967306,0.93701
2013-04-12,-1695.0,0.96989,0.06762442132612977,0.936975
2013-04-15,-900.0,0.96899,0.06585594278578727,0.911625
2013-04-16,2700.0,0.97169,0.06560811575708303,0.910725
2013-04-17,-3035.0,0.968655,0.06527711104572836,0.9033
2013-04-18,2915.0,0.97157,0.06454197844725548,0.895815
2013-04-19,-1180.0,0.97039,0.06546950195282308,0.907585
2013-04-22,-2790.0,0.9676,0.06495364820173627,0.897845
2013-04-23,-1895.0,0.965705,0.06440807492971456,0.88856
2013-04-24,765.0,0.96647,0.06511940360280197,0.899085
2013-04-25,-880.0,0.96559,0.06548395281641277,0.903295
2013-04-26,595.0,0.966185,0.0649904521390831,0.89704
2013-05-02,-2545.0,0.96364,0.0644055352621311,0.886625
2013-05-03,2060.0,0.9657,0.06500315833074453,0.896765
2013-05-06,690.0,0.96639,0.06568109148480428,0.906765
2013-05-07,-1275.0,0.965115,0.06539324329225016,0.9016
2013-05-08,1895.0,0.96701,0.06610588308290503,0.913215
2013-05-09,1235.0,0.968245,0.06562574554993829,0.90774
2013-05-10,2475.0,0.97072,0.06601332000988958,0.915435
2013-05-13,-2065.0,0.968655,0.06655114566073576,0.92093
2013-05-14,760.0,0.969415,0.06633794608088384,0.9187
2013-05-15,3530.0,0.972945,0.0647381917785692,0.89981
2013-05-16,1425.0,0.97437,0.0646208832373739,0.899495
2013-05-17,2305.0,0.976675,0.06544848593442036,0.91317
2013-05-20,775.0,0.97745,0.06533464627346668,0.912305
2013-05-21,4460.0,0.98191,0.06544708781863919,0.918045
2013-05-22,2080.0,0.98399,0.06552002561001637,0.921015
2013-05-23,-1910.0,0.98208,0.06458470796676442,0.906105
2013-05-24,1750.0,0.98383,0.06488534604555665,0.911945
2013-05-27,1685.0,0.985515,0.0639884730318666,0.90088
2013-05-28,-250.0,0.985265,0.06403454908070418,0.9013
2013-05-29,-2220.0,0.983045,0.0637027806458504,0.89461
2013-05-30,-335.0,0.98271,0.06377898871488027,0.895375
2013-05-31,-3620.0,0.97909,0.06374025881175377,0.891535
2013-06-03,-1870.0,0.97722,0.0644123636438059,0.899215
2013-06-04,2840.0,0.98006,0.06430213456319002,0.900285
2013-06-05,-190.0,0.97987,0.06460821333442192,0.904395
2013-06-06,-8335.0,0.971535,0.06404751244165162,0.88892
2013-06-07,1750.0,0.973285,0.06421572304104142,0.89286
2013-06-13,-2575.0,0.97071,0.06394942876863327,0.886805
2013-06-14,-590.0,0.97012,0.06429426256545583,0.891045
2013-06-17,1300.0,0.97142,0.06468309279199523,0.897635
2013-06-18,-960.0,0.97046,0.0646323908249696,0.896045
2013-06-19,-2955.0,0.967505,0.06500958651376479,0.89853
2013-06-20,-6710.0,0.960795,0.0643918838045577,0.88382
2013-06-21,7300.0,0.968095,0.06417675951223796,0.88756
2013-06-24,2515.0,0.97061,0.06305957078538241,0.874375
2013-06-25,3320.0,0.97393,0.06333335044613063,0.881175
2013-06-26,890.0,0.97482,0.06278220594571306,0.874305
2013-06-27,-1205.0,0.973615,0.06331897105118553,0.88069
2013-06-28,-3220.0,0.970395,0.06348723973227398,0.88011
2013-07-01,4810.0,0.975205,0.06373757312565051,0.88796
2013-07-02,610.0,0.975815,0.06387348011662047,0.89041
2013-07-03,-1140.0,0.974675,0.06423689947931362,0.89443
2013-07-04,-665.0,0.97401,0.06412085091528835,0.892205
2013-07-05,-945.0,0.973065,0.06418564021930703,0.89224
2013-07-08,-180.0,0.972885,0.063824809715434,0.88706
2013-07-09,-90.0,0.972795,0.06377818553754902,0.88633
2013-07-10,8110.0,0.980905,0.06364122927296732,0.8918
2013-07-11,2805.0,0.98371,0.06861773286842668,0.964285
