,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2013-01-04,0.0,1.0,0.0,0.0,0.0
2013-01-07,0.0,1.0,0.0,0.0,0.0
2013-01-08,-1260.0,0.99874,0.08285489717043475,1.10735,0.08291810000000001
2013-01-09,-3265.0,0.995475,0.08267033325799242,1.101275,0.072944
2013-01-10,-65.0,0.99541,0.08288182758863183,1.10372,0.072602
2013-01-11,695.0,0.996105,0.08133284141732047,1.083915,0.0
2013-01-14,4095.0,1.0002,0.08202419516096782,1.09818,0.0
2013-01-15,680.0,1.00088,0.08116707297578131,1.08775,0.0
2013-01-16,15.0,1.000895,0.08089784642744743,1.083875,0.0
2013-01-17,2345.0,1.00324,0.0810828914317611,1.08898,0.0
2013-01-18,2120.0,1.00536,0.08217713058009073,1.10608,0.0
2013-01-21,1410.0,1.00677,0.08160960298777278,1.10013,0.0
2013-01-22,-4360.0,1.00241,0.08235113376762004,1.10468,0.0
2013-01-23,-970.0,1.00144,0.08270969803482986,1.10874,0.0
2013-01-24,3655.0,1.005095,0.08178585108870307,1.101065,0.0
2013-01-25,745.0,1.00584,0.08198977968663008,1.10508,0.0
2013-01-28,3075.0,1.008915,0.08202579008142412,1.109115,0.0
2013-01-29,-5.0,1.00891,0.08260231338771545,1.11639,0.0
2013-01-30,-3935.0,1.004975,0.08338252195328243,1.122305,0.0
2013-01-31,655.0,1.00563,0.08357845330787665,1.1256,0.0
2013-02-01,-865.0,1.004765,0.08407045428533041,1.131115,0.0
2013-02-04,585.0,1.00535,0.0526975680111404,0.75685,0.032522
2013-02-05,1185.0,1.006535,0.05231040152602741,0.752175,0.0
2013-02-06,1310.0,1.007845,0.05207918876414528,0.749825,0.0
2013-02-07,1185.0,1.00903,0.05324142988811037,0.76746,0.05174050000000001
2013-02-08,945.0,1.009975,0.04909893809252704,0.70841,0.03249225000000001
2013-02-18,-3475.0,1.0065,0.06093556880278192,0.802295,0.048706599999999996
2013-02-19,-2780.0,1.00372,0.06240510301677759,0.820275,0.08155
2013-02-20,-485.0,1.003235,0.06705577456926842,0.88731,0.022615600000000003
2013-02-21,-5265.0,0.99797,0.0658017275068389,0.866445,0.0
2013-02-22,-905.0,0.997065,0.06539543560349625,0.85995,0.06718250000000002
2013-02-25,-3375.0,0.99369,0.06522834083064134,0.855525,0.0
2013-02-26,-7040.0,0.98665,0.06918086454163078,0.90609,0.012176850000000001
2013-02-27,6670.0,0.99332,0.06927576209076632,0.913,0.0
2013-02-28,3855.0,0.997175,0.05414360568606313,0.771295,0.044051
2013-03-01,-285.0,0.99689,0.0639107624712857,0.8417,0.0333721
2013-03-04,-8705.0,0.988185,0.04698755799774334,0.66332,0.04962925
2013-03-05,540.0,0.988725,0.06885048926647958,0.90306,0.053940800000000004
2013-03-06,860.0,0.989585,0.06853782140998499,0.9,0.0
2013-03-07,-3430.0,0.986155,0.06811596554294204,0.89127,0.0
2013-03-08,-3640.0,0.982515,0.068466435626937,0.89199,0.0
2013-03-11,940.0,0.983455,0.06810184502595443,0.88823,0.0
2013-03-12,5690.0,0.989145,0.06665372619787796,0.87546,0.0
2013-03-13,5010.0,0.994155,0.06573532296271709,0.86833,0.0
2013-03-14,-3155.0,0.991,0.053757669021190724,0.761055,0.046375
2013-03-15,-3600.0,0.9874,0.05484692120721086,0.773655,0.0
2013-03-18,1330.0,0.98873,0.05421879582899275,0.765825,0.0
2013-03-19,-1605.0,0.987125,0.046193085982018496,0.651405,0.05780495000000001
2013-03-20,550.0,0.987675,0.046185081124863955,0.651655,0.0
2013-03-21,-300.0,0.987375,0.06515670338017471,0.85363,0.06377375
2013-03-22,-4175.0,0.9832,0.06488186533767291,0.846155,0.0
2013-03-25,-1645.0,0.981555,0.06504444478404166,0.84661,0.0
2013-03-26,-3005.0,0.97855,0.06474104542435237,0.840005,0.0
2013-03-27,-760.0,0.97779,0.06451196064594647,0.836445,0.0
2013-03-28,675.0,0.978465,0.06353257398067381,0.82492,0.0
2013-03-29,-3740.0,0.974725,0.04561050552719998,0.63511,0.043582800000000005
2013-04-01,-660.0,0.974065,0.045110336579181065,0.62772,0.0
2013-04-02,7855.0,0.98192,0.06289758839824018,0.82062,0.04313495
2013-04-03,-2650.0,0.97927,0.045650433486168276,0.63863,0.043615
2013-04-08,-870.0,0.9784,0.04592855682747343,0.64195,0.0
2013-04-09,580.0,0.97898,0.06343117326196654,0.825155,0.04431025
2013-04-10,-300.0,0.97868,0.0636927800711162,0.828155,0.0
2013-04-11,125.0,0.978805,0.04571932100878112,0.63929,0.0446009
2013-04-12,-1535.0,0.97727,0.04572559272258435,0.638375,0.0
2013-04-15,-700.0,0.97657,0.044529066016773,0.621225,0.0
2013-04-16,2580.0,0.97915,0.04427018332226932,0.619245,0.0
2013-04-17,-3395.0,0.975755,0.04415842091508627,0.61554,0.0
2013-04-18,1955.0,0.97771,0.0437404240521218,0.610935,0.0
2013-04-19,-500.0,0.97721,0.04445405798139602,0.620585,0.0
2013-04-22,2355.0,0.979565,0.05869253188915488,0.768145,0.04134725
2013-04-23,-1690.0,0.977875,0.03585453150965103,0.500875,0.0542466
2013-04-24,1275.0,0.97915,0.03612776387683195,0.50535,0.0
2013-04-25,2085.0,0.981235,0.050996906959087276,0.660185,0.0418435
2013-04-26,-455.0,0.98078,0.05080915189950856,0.65738,0.0
